publish_date,entities
"April 1, 2023","[{""text"": ""Economic Growth Energy and"", ""label"": ""ORG""}, {""text"": ""Jose W Fernandez"", ""label"": ""PER""}, {""text"": ""Toronto Canada"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""US-"", ""label"": ""MISC""}, {""text"": ""Canada Summit"", ""label"": ""MISC""}, {""text"": ""Eurasia Group"", ""label"": ""ORG""}, {""text"": ""Bank of Montreal BMO Financial Group"", ""label"": ""ORG""}, {""text"": ""Canada"", ""label"": ""LOC""}, {""text"": ""Fernandez"", ""label"": ""PER""}, {""text"": ""North America"", ""label"": ""LOC""}, {""text"": ""Fernandez"", ""label"": ""PER""}, {""text"": ""USUSFernandez"", ""label"": ""LOC""}]"
"August 2, 2023","[{""text"": ""BLINKE"", ""label"": ""ORG""}, {""text"": ""Mandela"", ""label"": ""PER""}, {""text"": ""BLINKEN"", ""label"": ""PER""}, {""text"": ""Mandela Washington Fellowship"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Mandela"", ""label"": ""ORG""}, {""text"": ""Fellows"", ""label"": ""MISC""}, {""text"": ""Mandela"", ""label"": ""MISC""}, {""text"": ""Washington"", ""label"": ""ORG""}, {""text"": ""Fellowship"", ""label"": ""MISC""}, {""text"": ""IREX"", ""label"": ""ORG""}, {""text"": ""Bureau of African Affairs"", ""label"": ""ORG""}, {""text"": ""Liz"", ""label"": ""PER""}, {""text"": ""Obama"", ""label"": ""PER""}, {""text"": ""yali"", ""label"": ""PER""}, {""text"": ""Obama"", ""label"": ""PER""}, {""text"": ""Biden"", ""label"": ""PER""}, {""text"": ""Mandela Fellowship"", ""label"": ""ORG""}, {""text"": ""African"", ""label"": ""MISC""}, {""text"": ""Africa"", ""label"": ""LOC""}, {""text"": ""Africa"", ""label"": ""LOC""}, {""text"": ""Africans"", ""label"": ""MISC""}, {""text"": ""Americans"", ""label"": ""MISC""}, {""text"": ""Niger"", ""label"": ""LOC""}]"
"June 30, 2022","[{""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""People ' s Republic of China"", ""label"": ""LOC""}, {""text"": ""One country Two systems"", ""label"": ""MISC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""Beijing"", ""label"": ""LOC""}, {""text"": ""Hong Kongers"", ""label"": ""MISC""}, {""text"": ""Beijing"", ""label"": ""LOC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""Hong"", ""label"": ""LOC""}, {""text"": ""Kongers"", ""label"": ""MISC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}]"
"August 4, 2022","[{""text"": ""HUN"", ""label"": ""PER""}, {""text"": ""Khmer"", ""label"": ""MISC""}, {""text"": ""BLINKEN"", ""label"": ""PER""}, {""text"": ""Kerry"", ""label"": ""PER""}, {""text"": ""Clinton"", ""label"": ""PER""}, {""text"": ""Powell"", ""label"": ""PER""}, {""text"": ""Cambodia"", ""label"": ""LOC""}, {""text"": ""ASEAN"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""ASEAN"", ""label"": ""LOC""}, {""text"": ""ASEAN"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Cambodia"", ""label"": ""LOC""}]"
"September 29, 2021","[{""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Qatar"", ""label"": ""LOC""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""Gulf"", ""label"": ""LOC""}, {""text"": ""Ali"", ""label"": ""LOC""}, {""text"": ""Reda Hassan al Banai Ali Reda al Qassabi Lari"", ""label"": ""PER""}, {""text"": ""Abd al Muayyid al Banai"", ""label"": ""PER""}, {""text"": ""Hizballah"", ""label"": ""PER""}, {""text"": ""al Rahman Abd al Nabi Shams Yahya Muhammad al Abd al Muhsin Majdi Fa ' iz al Ustadz"", ""label"": ""PER""}, {""text"": ""Sulaiman al Banai"", ""label"": ""PER""}, {""text"": ""EO24"", ""label"": ""LOC""}, {""text"": ""Ali"", ""label"": ""PER""}, {""text"": ""al Banai"", ""label"": ""MISC""}, {""text"": ""Qatar"", ""label"": ""LOC""}, {""text"": ""based"", ""label"": ""ORG""}, {""text"": ""AlDar Properties"", ""label"": ""ORG""}, {""text"": ""Sulaiman al Banai"", ""label"": ""PER""}, {""text"": ""Gulf Cooperation Council"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""Foreign Terrorist Organization"", ""label"": ""ORG""}, {""text"": ""SDGT"", ""label"": ""ORG""}, {""text"": ""GCC"", ""label"": ""ORG""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Qatar"", ""label"": ""LOC""}, {""text"": ""USGovernment of Bahrain"", ""label"": ""LOC""}, {""text"": ""Hizballah"", ""label"": ""MISC""}, {""text"": ""Europe"", ""label"": ""LOC""}, {""text"": ""South"", ""label"": ""LOC""}, {""text"": ""Central"", ""label"": ""ORG""}, {""text"": ""America"", ""label"": ""LOC""}, {""text"": ""Hi"", ""label"": ""ORG""}, {""text"": ""Department"", ""label"": ""ORG""}, {""text"": ""Treasury"", ""label"": ""ORG""}]"
"May 26, 2023","[{""text"": ""United States of America"", ""label"": ""LOC""}, {""text"": ""Cooperative Republic of Guyana"", ""label"": ""LOC""}, {""text"": ""Independence Day"", ""label"": ""MISC""}, {""text"": ""Mahdia"", ""label"": ""LOC""}, {""text"": ""School"", ""label"": ""LOC""}, {""text"": ""Guyanese"", ""label"": ""MISC""}, {""text"": ""Guyana"", ""label"": ""LOC""}, {""text"": ""Mahdia"", ""label"": ""LOC""}, {""text"": ""Guyana"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""US-"", ""label"": ""MISC""}, {""text"": ""Caribbean Partnership"", ""label"": ""MISC""}, {""text"": ""Climate Crisis"", ""label"": ""MISC""}, {""text"": ""Independence Day"", ""label"": ""MISC""}]"
"January 27, 2023","[{""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Azerbaijani"", ""label"": ""MISC""}, {""text"": ""Tehran"", ""label"": ""LOC""}, {""text"": ""Aliyev"", ""label"": ""PER""}, {""text"": ""iran"", ""label"": ""LOC""}, {""text"": ""Vienna Convention on Diplomatic Relations"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}]"
"September 25, 2023","[{""text"": ""BLINKEN"", ""label"": ""ORG""}, {""text"": ""Brown"", ""label"": ""PER""}, {""text"": ""Pacific Island"", ""label"": ""LOC""}, {""text"": ""Biden"", ""label"": ""PER""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""Indo Pacific"", ""label"": ""LOC""}, {""text"": ""Biden"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""Indo Pacific"", ""label"": ""LOC""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""World War II"", ""label"": ""MISC""}, {""text"": ""Cook"", ""label"": ""MISC""}, {""text"": ""American"", ""label"": ""MISC""}, {""text"": ""Cook"", ""label"": ""MISC""}]"
"May 12, 2021","[{""text"": ""Eid Mubarak"", ""label"": ""PER""}, {""text"": ""Muslim"", ""label"": ""MISC""}, {""text"": ""Ramadan"", ""label"": ""MISC""}, {""text"": ""Blinken"", ""label"": ""PER""}, {""text"": ""Bob Boehme"", ""label"": ""PER""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""International Religious Freedom"", ""label"": ""ORG""}, {""text"": ""United"", ""label"": ""LOC""}, {""text"": ""States Government"", ""label"": ""ORG""}, {""text"": ""Office of International Religious Freedom"", ""label"": ""ORG""}, {""text"": ""United"", ""label"": ""LOC""}]"
"August 6, 2021","[{""text"": ""United States of America"", ""label"": ""LOC""}, {""text"": ""Jamaica"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Jamaica"", ""label"": ""LOC""}, {""text"": ""Western Hemisphere"", ""label"": ""LOC""}, {""text"": ""COVID"", ""label"": ""MISC""}, {""text"": ""-"", ""label"": ""MISC""}, {""text"": ""19"", ""label"": ""MISC""}, {""text"": ""US-"", ""label"": ""MISC""}, {""text"": ""Caribbean Resilience Partnership"", ""label"": ""MISC""}, {""text"": ""Jamaica"", ""label"": ""LOC""}]"
