publish_date,entities
"June 4, 2018","[{""text"": ""Nauert Department"", ""label"": ""PER""}, {""text"": ""Washington"", ""label"": ""LOC""}, {""text"": ""DC"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Guatemala"", ""label"": ""LOC""}, {""text"": ""Fuego"", ""label"": ""LOC""}, {""text"": ""Guatemala"", ""label"": ""LOC""}, {""text"": ""Guatemalan"", ""label"": ""MISC""}, {""text"": ""Guatemalan"", ""label"": ""MISC""}]"
"January 17, 2020","[{""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""California"", ""label"": ""LOC""}, {""text"": ""Stanford University"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Islamic Republic of Iran"", ""label"": ""LOC""}, {""text"": ""Silicon Valley"", ""label"": ""LOC""}, {""text"": ""USPompeo"", ""label"": ""LOC""}, {""text"": ""America"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Japan"", ""label"": ""LOC""}, {""text"": ""South Korea"", ""label"": ""LOC""}, {""text"": ""Indo Pacific"", ""label"": ""LOC""}, {""text"": ""United"", ""label"": ""ORG""}, {""text"": ""States"", ""label"": ""LOC""}, {""text"": ""Senate"", ""label"": ""ORG""}, {""text"": ""United"", ""label"": ""MISC""}, {""text"": ""States"", ""label"": ""LOC""}, {""text"": ""Mexico Canada Agreement"", ""label"": ""MISC""}, {""text"": ""USMCA"", ""label"": ""MISC""}, {""text"": ""Trump"", ""label"": ""PER""}, {""text"": ""Mexico"", ""label"": ""LOC""}, {""text"": ""USMCA"", ""label"": ""MISC""}, {""text"": ""Canadian"", ""label"": ""MISC""}, {""text"": ""USMCA"", ""label"": ""ORG""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Organization of American States"", ""label"": ""ORG""}, {""text"": ""Western Hemisphere"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Germany"", ""label"": ""LOC""}, {""text"": ""Colombia"", ""label"": ""LOC""}, {""text"": ""Costa Rica Jamaica"", ""label"": ""LOC""}, {""text"": ""Florida"", ""label"": ""LOC""}, {""text"": ""Berlin"", ""label"": ""LOC""}, {""text"": ""German"", ""label"": ""MISC""}, {""text"": ""Libya"", ""label"": ""LOC""}, {""text"": ""Bo"", ""label"": ""LOC""}, {""text"": ""Colombia"", ""label"": ""LOC""}, {""text"": ""Hemisphere"", ""label"": ""MISC""}, {""text"": ""Colombia"", ""label"": ""LOC""}, {""text"": ""San"", ""label"": ""LOC""}, {""text"": ""Costa"", ""label"": ""LOC""}, {""text"": ""Rica"", ""label"": ""LOC""}, {""text"": ""Costa"", ""label"": ""LOC""}, {""text"": ""Rica"", ""label"": ""LOC""}, {""text"": ""United"", ""label"": ""LOC""}, {""text"": ""Nicaragua"", ""label"": ""LOC""}, {""text"": ""Venezuela"", ""label"": ""LOC""}, {""text"": ""Jamaica"", ""label"": ""LOC""}]"
"July 20, 2020","[{""text"": ""Michael R Pompeo"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""COVID"", ""label"": ""MISC""}, {""text"": ""-"", ""label"": ""MISC""}, {""text"": ""19"", ""label"": ""MISC""}, {""text"": ""COVID"", ""label"": ""MISC""}, {""text"": ""-"", ""label"": ""MISC""}, {""text"": ""19"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""COVID"", ""label"": ""MISC""}, {""text"": ""US GovernmentCOVID"", ""label"": ""ORG""}, {""text"": ""-"", ""label"": ""MISC""}, {""text"": ""19"", ""label"": ""MISC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Bureau for Democracy Human Rights and Labor DRL"", ""label"": ""ORG""}, {""text"": ""COVID"", ""label"": ""MISC""}, {""text"": ""-"", ""label"": ""ORG""}, {""text"": ""19"", ""label"": ""ORG""}, {""text"": ""Working Group"", ""label"": ""ORG""}, {""text"": ""US Agency for International Developmentusaid"", ""label"": ""ORG""}, {""text"": ""COD"", ""label"": ""MISC""}, {""text"": ""-"", ""label"": ""MISC""}, {""text"": ""19"", ""label"": ""MISC""}, {""text"": ""Working Group"", ""label"": ""ORG""}, {""text"": ""The State Department"", ""label"": ""ORG""}, {""text"": ""USAID"", ""label"": ""ORG""}, {""text"": ""Azerbaijan"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""COVID"", ""label"": ""MISC""}, {""text"": ""Bangladesh"", ""label"": ""LOC""}, {""text"": ""Bangladesh"", ""label"": ""LOC""}]"
"October 6, 2017","[{""text"": ""Media Note Office"", ""label"": ""ORG""}, {""text"": ""Washington DC"", ""label"": ""LOC""}, {""text"": ""Department of State"", ""label"": ""ORG""}, {""text"": ""USEmbassy"", ""label"": ""LOC""}, {""text"": ""Mexico City Mexico"", ""label"": ""LOC""}, {""text"": ""Caddell Construction Companytgomer"", ""label"": ""ORG""}, {""text"": ""Alabama"", ""label"": ""LOC""}, {""text"": ""Chancery"", ""label"": ""ORG""}, {""text"": ""Marine"", ""label"": ""LOC""}, {""text"": ""Tod Williams Billiesien"", ""label"": ""ORG""}, {""text"": ""Davis Brody Bond"", ""label"": ""PER""}, {""text"": ""New York New York"", ""label"": ""LOC""}, {""text"": ""Department"", ""label"": ""ORG""}, {""text"": ""Capital Security Construction Program"", ""label"": ""ORG""}, {""text"": ""Bureau of Overseas Buildings Operations OBO"", ""label"": ""ORG""}, {""text"": ""OBO"", ""label"": ""ORG""}, {""text"": ""USUSAmerican"", ""label"": ""LOC""}, {""text"": ""American"", ""label"": ""MISC""}, {""text"": ""Christine Foushee"", ""label"": ""PER""}]"
"July 2, 2019","[{""text"": ""Morgan Ortagus"", ""label"": ""PER""}, {""text"": ""Michael R Pompeo"", ""label"": ""PER""}, {""text"": ""Kazakhstani"", ""label"": ""MISC""}, {""text"": ""Beibut Atamkulov"", ""label"": ""PER""}, {""text"": ""US-"", ""label"": ""MISC""}, {""text"": ""Kazakhstani"", ""label"": ""MISC""}, {""text"": ""Kassym Jomart Tokayev"", ""label"": ""PER""}, {""text"": ""Tokayev"", ""label"": ""PER""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Syria"", ""label"": ""LOC""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Afghanistan"", ""label"": ""LOC""}]"
"March 2, 2020","[{""text"": ""Bureau of International Narcotics and Law EnforcementL"", ""label"": ""ORG""}, {""text"": ""James A Walsh"", ""label"": ""PER""}, {""text"": ""USCommission on"", ""label"": ""LOC""}, {""text"": ""Narcotic Drugs"", ""label"": ""MISC""}, {""text"": ""Vienna Austria"", ""label"": ""LOC""}, {""text"": ""CND"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Trump"", ""label"": ""PER""}, {""text"": ""Call"", ""label"": ""MISC""}, {""text"": ""World Drug Problem"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""CND"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""CND"", ""label"": ""ORG""}, {""text"": ""USDepartment of State"", ""label"": ""LOC""}, {""text"": ""Department of Justice the Department of Health and Human Services the Food and Drug Administration"", ""label"": ""ORG""}, {""text"": ""Department of Agriculture The State Department"", ""label"": ""ORG""}, {""text"": ""INL"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Bureau of International Narcotics and Law Enforcement Affairs"", ""label"": ""ORG""}]"
"July 26, 2018","[{""text"": ""Trump"", ""label"": ""PER""}, {""text"": ""Trump"", ""label"": ""PER""}, {""text"": ""Pence"", ""label"": ""PER""}, {""text"": ""United States Government"", ""label"": ""ORG""}, {""text"": ""ISIS"", ""label"": ""ORG""}, {""text"": ""Iraq"", ""label"": ""LOC""}, {""text"": ""U"", ""label"": ""ORG""}, {""text"": ""Jared"", ""label"": ""PER""}, {""text"": ""USAID"", ""label"": ""LOC""}, {""text"": ""UN"", ""label"": ""ORG""}, {""text"": ""Haley"", ""label"": ""PER""}, {""text"": ""International"", ""label"": ""ORG""}]"
"March 28, 2019","[{""text"": ""USUSIstanbul"", ""label"": ""LOC""}, {""text"": ""Metin Topuz TopuzUnited States"", ""label"": ""PER""}, {""text"": ""Turkey TopuzUSUnited States"", ""label"": ""LOC""}, {""text"": ""Turkey"", ""label"": ""LOC""}, {""text"": ""Turkish"", ""label"": ""MISC""}]"
"June 1, 2020","[{""text"": ""US Department of StateVenezuelan"", ""label"": ""ORG""}, {""text"": ""Joselit de la Trinidad Ramirez Camacho"", ""label"": ""PER""}, {""text"": ""Venezuelan"", ""label"": ""MISC""}, {""text"": ""Venezuela"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Venezuelans"", ""label"": ""MISC""}, {""text"": ""Department"", ""label"": ""ORG""}, {""text"": ""Joselit de la Trinidad Ramirez Camacho"", ""label"": ""PER""}, {""text"": ""Venezuelan"", ""label"": ""MISC""}, {""text"": ""Ramirez Camacho"", ""label"": ""PER""}, {""text"": ""Venezuela"", ""label"": ""LOC""}, {""text"": ""Ramirez Camacho"", ""label"": ""PER""}, {""text"": ""Maduro"", ""label"": ""LOC""}, {""text"": ""Venezuelan"", ""label"": ""MISC""}, {""text"": ""Tareck El Aissami"", ""label"": ""PER""}, {""text"": ""Southern District"", ""label"": ""LOC""}, {""text"": ""New York"", ""label"": ""LOC""}, {""text"": ""Department of State"", ""label"": ""ORG""}, {""text"": ""Transnational Organized Crime Rewards Program"", ""label"": ""MISC""}, {""text"": ""Narcotics Rewards Program"", ""label"": ""MISC""}, {""text"": ""The Department of State"", ""label"": ""ORG""}, {""text"": ""The Bureau of International Narcotics and Law Enforcement Affairs"", ""label"": ""ORG""}, {""text"": ""Drug Enforcement Administration DEA"", ""label"": ""ORG""}, {""text"": ""Federal Bureau of Investigation the"", ""label"": ""ORG""}, {""text"": ""US Immigration and Customs Enforcement Homeland Security InvestigationsUSState Department"", ""label"": ""ORG""}]"
"February 20, 2017","[{""text"": ""Mark C Toner"", ""label"": ""PER""}, {""text"": ""Washington DC"", ""label"": ""LOC""}, {""text"": ""Ukrainians"", ""label"": ""MISC""}, {""text"": ""Ukrainians"", ""label"": ""MISC""}, {""text"": ""Europe"", ""label"": ""LOC""}, {""text"": ""Ukraine"", ""label"": ""LOC""}, {""text"": ""Maidan"", ""label"": ""ORG""}, {""text"": ""Ukrainian"", ""label"": ""MISC""}, {""text"": ""Revolution of Dignity"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Ukraine"", ""label"": ""LOC""}, {""text"": ""Ukraine"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Ukrainian"", ""label"": ""MISC""}]"
"April 4, 2018","[{""text"": ""Nauert Department"", ""label"": ""ORG""}, {""text"": ""Washington DC"", ""label"": ""LOC""}, {""text"": ""United Nations"", ""label"": ""ORG""}, {""text"": ""International Day for Mine Awareness"", ""label"": ""MISC""}, {""text"": ""Assistance in Mine Action"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""The United States"", ""label"": ""LOC""}, {""text"": ""USMine Risk Education"", ""label"": ""LOC""}, {""text"": ""US-"", ""label"": ""MISC""}, {""text"": ""funded"", ""label"": ""MISC""}, {""text"": ""Survivor Assistance"", ""label"": ""MISC""}, {""text"": ""Department of Defense"", ""label"": ""ORG""}, {""text"": ""US Agency for International DevelopmentLeahy War Victims Fund"", ""label"": ""ORG""}, {""text"": ""Department of State"", ""label"": ""ORG""}]"
"July 15, 2020","[{""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Middle East"", ""label"": ""LOC""}, {""text"": ""Terrorist Financing Targeting Center"", ""label"": ""ORG""}, {""text"": ""TFTC"", ""label"": ""ORG""}, {""text"": ""Islamic State of Iraq"", ""label"": ""ORG""}, {""text"": ""Syria"", ""label"": ""LOC""}, {""text"": ""ISIS"", ""label"": ""ORG""}, {""text"": ""ISIS"", ""label"": ""ORG""}, {""text"": ""ISIS"", ""label"": ""ORG""}, {""text"": ""ISIS"", ""label"": ""ORG""}, {""text"": ""Syria"", ""label"": ""LOC""}, {""text"": ""Iraq"", ""label"": ""LOC""}, {""text"": ""Syria"", ""label"": ""MISC""}, {""text"": ""haram"", ""label"": ""ORG""}, {""text"": ""Tawasul Company"", ""label"": ""ORG""}, {""text"": ""al Khalidi Exchange"", ""label"": ""ORG""}, {""text"": ""ISIS"", ""label"": ""ORG""}, {""text"": ""Abd al Rahman Ali Husayn al Ahmad al Rawi"", ""label"": ""PER""}, {""text"": ""Afghanistan"", ""label"": ""LOC""}, {""text"": ""Nejaat Social Welfare Organization"", ""label"": ""ORG""}, {""text"": ""Sayed Habib Ahmad Khan"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""TFTC"", ""label"": ""ORG""}, {""text"": ""Kingdom of"", ""label"": ""LOC""}, {""text"": ""Saudi Arabia"", ""label"": ""LOC""}, {""text"": ""Kingdom of Bahrain"", ""label"": ""LOC""}, {""text"": ""State of"", ""label"": ""ORG""}, {""text"": ""Kuwait"", ""label"": ""LOC""}, {""text"": ""Sultanate of Oman"", ""label"": ""LOC""}, {""text"": ""Qatar"", ""label"": ""LOC""}, {""text"": ""United Arab Emirates"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}]"
"September 30, 2017","[{""text"": ""Rex"", ""label"": ""PER""}, {""text"": ""W TillersonWashington"", ""label"": ""PER""}, {""text"": ""American"", ""label"": ""MISC""}, {""text"": ""Government of Nigeria"", ""label"": ""ORG""}, {""text"": ""Nigerian"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Nigeria"", ""label"": ""LOC""}, {""text"": ""USNigeria"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Nigeria"", ""label"": ""LOC""}, {""text"": ""Boko Haram"", ""label"": ""PER""}, {""text"": ""ISIS West Africa"", ""label"": ""ORG""}, {""text"": ""Nigerian"", ""label"": ""MISC""}, {""text"": ""Nigeria"", ""label"": ""LOC""}]"
"November 20, 2019","[{""text"": ""Morgan Ortagus"", ""label"": ""PER""}, {""text"": ""Michael R Pompeo"", ""label"": ""PER""}, {""text"": ""Romanian"", ""label"": ""MISC""}, {""text"": ""Bogdan Aurescu"", ""label"": ""PER""}, {""text"": ""Brussels"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Aurescu"", ""label"": ""PER""}, {""text"": ""Romania"", ""label"": ""LOC""}, {""text"": ""usRomanian"", ""label"": ""LOC""}]"
"November 6, 2019","[{""text"": ""Morgan Ortagus"", ""label"": ""PER""}, {""text"": ""Michael R Pompeo"", ""label"": ""PER""}, {""text"": ""South African"", ""label"": ""MISC""}, {""text"": ""Naledi pandor"", ""label"": ""PER""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""pandor"", ""label"": ""PER""}, {""text"": ""US-"", ""label"": ""MISC""}, {""text"": ""South African"", ""label"": ""MISC""}, {""text"": ""USSouth Africa"", ""label"": ""LOC""}, {""text"": ""Lana Marks"", ""label"": ""PER""}, {""text"": ""us-"", ""label"": ""MISC""}, {""text"": ""supported"", ""label"": ""MISC""}, {""text"": ""South Africans"", ""label"": ""MISC""}]"
"May 9, 2018","[{""text"": ""her Nauert Department"", ""label"": ""ORG""}, {""text"": ""Washington"", ""label"": ""LOC""}, {""text"": ""DC"", ""label"": ""PER""}, {""text"": ""Malaysia"", ""label"": ""LOC""}, {""text"": ""Malaysians"", ""label"": ""MISC""}]"
"October 6, 2020","[{""text"": ""Japanese"", ""label"": ""MISC""}, {""text"": ""Motegi"", ""label"": ""PER""}, {""text"": ""Jaishankar"", ""label"": ""PER""}, {""text"": ""Tokyo"", ""label"": ""LOC""}, {""text"": ""Suga"", ""label"": ""PER""}, {""text"": ""Abe"", ""label"": ""PER""}, {""text"": ""Indo Pacific"", ""label"": ""LOC""}, {""text"": ""Wuhan"", ""label"": ""LOC""}, {""text"": ""Chinese Communist Party"", ""label"": ""ORG""}, {""text"": ""Chinese"", ""label"": ""MISC""}, {""text"": ""America"", ""label"": ""LOC""}, {""text"": ""Q"", ""label"": ""MISC""}, {""text"": ""CCP"", ""label"": ""ORG""}, {""text"": ""East China Sea"", ""label"": ""LOC""}, {""text"": ""Mekong"", ""label"": ""LOC""}, {""text"": ""Himalayas"", ""label"": ""LOC""}, {""text"": ""Taiwan Straits"", ""label"": ""LOC""}]"
"August 14, 2020","[{""text"": ""Department of Justice"", ""label"": ""ORG""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Maduro"", ""label"": ""MISC""}, {""text"": ""Venezuela"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Islamic Revolutionary Guard Corps IRGC"", ""label"": ""ORG""}, {""text"": ""Foreign Terrorist Organization"", ""label"": ""ORG""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Brian Hook"", ""label"": ""PER""}, {""text"": ""Departments of Justice and Homeland Security"", ""label"": ""ORG""}, {""text"": ""USIranian"", ""label"": ""LOC""}, {""text"": ""USUS Victims of State Sponsored Terrorism FundIRGC"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""The United States"", ""label"": ""LOC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Maduro"", ""label"": ""MISC""}]"
"February 18, 2019","[{""text"": ""Michael R Pompeo"", ""label"": ""PER""}, {""text"": ""Washington"", ""label"": ""LOC""}, {""text"": ""DC"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Gambia"", ""label"": ""LOC""}, {""text"": ""Gambia"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Gambia"", ""label"": ""LOC""}]"
