('Jose W. Fernandez', 'PER')
('Economic Growth Energy', 'ORG')
('Toronto', 'LOC')
('Canada', 'LOC')
('United States', 'LOC')
('U.S.-Canada Summit', 'ORG')
('Eurasia Group', 'ORG')
('Bank of Montreal BMO Financial Group', 'ORG')
('North America', 'LOC')
('U.S.', 'LOC')
('Twitter', 'ORG')
('Fernandez', 'PER')
('facebook', 'ORG')
('LinkedIn', 'ORG')
('BLINKEN', 'PER')
('Mandela Fellows', 'MISC')
('Mandela Washington Fellowship Summit', 'ORG')
('Liz', 'PER')
('United States', 'LOC')
('IREX', 'ORG')
('Bureau of Educational and Cultural Affairs', 'ORG')
('Bureau of African Affairs', 'ORG')
('Obama', 'PER')
('YALI', 'ORG')
('Biden', 'PER')
('Mandela Fellowship', 'ORG')
('Africa', 'LOC')
('Des Moines', 'LOC')
('Iowa', 'LOC')
('Atlanta', 'LOC')
('Georgia', 'LOC')
('Africa', 'LOC')
('Allen', 'PER')
('Niger', 'LOC')
('United States', 'LOC')
('Hong Kong', 'LOC')
('People\'s Republic of China', 'LOC')
('One country Two systems', 'MISC')
('Beijing', 'LOC')
('Hong Kongers', 'MISC')
('Beijing', 'LOC')
('Hong Kong', 'LOC')
('Hong Kong', 'LOC')
('Hong Kongers', 'MISC')
('Hong Kong', 'LOC')
('National security law', 'MISC')
('HUN', 'PER')
('Khmer', 'MISC')
('BLINKEN', 'PER')
('Kerry', 'PER')
('Clinton', 'PER')
('Powell', 'PER')
('Cambodia', 'LOC')
('ASEAN', 'ORG')
('United States', 'LOC')
('ASEAN', 'ORG')
('United States', 'LOC')
('Cambodia', 'LOC')
('United States', 'LOC')
('Qatar', 'LOC')
('Hizballah', 'ORG')
('Ali Reda Hassan al Banai', 'PER')
('Ali Reda al Qassabi Lari', 'PER')
('Abd al Muayyid al Banai', 'PER')
('Hizballah', 'ORG')
('Abd al Rahman Abd al Nabi Shams', 'PER')
('Yahya Muhammad al Abd al Muhsin', 'PER')
('Majdi Faiz al Ustadz', 'PER')
('Sulaiman al Banai', 'PER')
('AlDar Properties', 'ORG')
('Sulaiman al Banai', 'PER')
('Gulf Cooperation Council', 'ORG')
('GCC', 'ORG')
('United States', 'LOC')
('Hizballah', 'ORG')
('Government of Bahrain', 'ORG')
