publish_date,processed_text
"June 4, 2018",press statement heather Nauert Department spokesperson Washington DC June 4 2018 The United States will assist the families affected by Guatemala 's Fuego volcano eruption and sends condolences to the loved ones of those who perished as a result of this terrible natural disaster our embassy in Guatemala is in touch with Guatemalan authorities and stands ready to support their efforts as needed we express our steadfast support for the Guatemalan people during this difficult time
"January 17, 2020","ms ortagus hey everybody happy Friday good to see all of you Today i thought i would start things off by highlighting a few things from this past week make a couple of announcements and then move on to introducing our briefer who i think all of you know very well at this point secretary Pompeo this week has been in California on Monday he gave two important speeches the first at Stanford University where he addressed how the United States is restoring deterrence as a part of our overall strategy towards the Islamic Republic of Iran later he spoke at an event in Silicon Valley where he emphasized the importance of U.S. businesses making thoughtful decisions that include national security considerations in meetings with several businesses and industry groups secretary Pompeo stressed the importance of America 's innovative economy to our national security secretary Pompeo also held meetings with his counterparts from Japan and South Korea he also participated in a trilateral meeting where we discussed our shared priorities in the Indo Pacific region moving on yesterday the United States Senate passed the United States Mexico Canada Agreement also known as the USMCA this brings us one step closer to fulfilling president Trump 's promise to modernize and to update trade agreements Mexico has ratified the USMCA and we now look forward to the Canadian parliament 's consideration of this agreement the USMCA will promote prosperity through reciprocal balanced and fair trade while encouraging robust economic engagement between our three nations Later today very shortly in fact secretary Pompeo will provide remarks at a meeting of the Organization of American States he will reaffirm our commitment to upholding democratic principles in the Western Hemisphere and will further the administration 's vision of the hemisphere of freedom on Saturday secretary Pompeo will begin a trip that includes stops in Germany Colombia Costa Rica Jamaica and my home state of Florida from January 18th to the 23rd the secretary will travel to Berlin on January 19th to attend the jointly hosted German un international conference on Libya the secretary will then arrive in Bogota Colombia on January 20th where he will speak to the third Western Hemisphere Counterterrorism Ministerial and will meet with president Duque and other regional leaders the secretary will also highlight our strong counter narcotics cooperation with Colombia on January 21st the secretary will arrive in San Jose Costa Rica where he will meet with the president and visit the Joint Operations Center which facilitates regional law enforcement cooperation in Costa Rica an important partner of the United States supports democracy the rule of law throughout the hemisphere including Nicaragua and Venezuela Later that day secretary Pompeo will travel to Kingston Jamaica while there he will meet with the prime minister conduct a multilateral roundtable discussion with Caribbean leaders and will deliver remarks on the u.s.-caribbean relationship on January 23rd secretary Pompeo will then head to Miami to meet with governor DeSantis the secretary will travel to Bushnell Florida as well to deliver a speech on president Trump 's foreign policy before returning to Washington D.C. and i owe you a response on that One more This Sunday January 19th we will celebrate the 60th anniversary of the Treaty of Mutual Cooperation and Security between the United States and Japan the signing of this treaty on January 19th 1960 codified the u.s.-japan alliance we commemorate our mutual and unwavering commitment to values such as democracy respect for human rights and a rules based international order the u.s.-japan alliance has played and will continue to play an integral role in ensuring the peace and security of our two countries and realizing our shared vision of a free and open Indo Pacific our alliance is stronger broader and more essential today than ever and last announcement a pitch really One of the most important ways the State Department serves the American people is through issuing passports Last year we issued more than 20 million of them as a part of our commitment to U.S. travelers most people are n't thinking of getting a passport for their summer vacation in the middle of winter but they should be applying during the winter season when there is less demand means faster processing times This winter we 're pleased to host special passport acceptance fairs at our passport agencies across the country we 're also accepting passport applications at travel and adventure shows around the country from January through March these events are open to the public and will be a perfect time to apply for passports for both adults and children you can check out travel.state.gov for more information and also follow our winter passport campaign on facebook Twitter and Instagram @TravelGov so beat the summer rush and apply for your passports now with that i will introduce our briefer this morning special representative for Iran Brian Hook joins us here today to discuss the latest on our Iran policy and to make an announcement of his own Brian mr hook good morning First i have an update on our maximum pressure campaign and then i will discuss the various crises that today the regime in Tehran is struggling to manage secretary Pompeo repeatedly promised that he will hold the Iranian regime accountable for its human rights violations and for its treatment of the Iranian people Today we are continuing to deliver on this promise The United States is listing IRGC brigadier general Hassan Shahvarpour under Section 7031(c visa sanctions general Shahvarpour committed gross violations of human rights against protesters in Mahshahr he oversaw the massacre of 148 helpless Iranians in the mahshahr region last November general Shahvarpour was in command of units responsible for the violent crackdown and lethal repression around Mahshahr this is the first designation on an Iranian regime official being taken under the State Department authority from section 7031(c authorities this action taken today was made possible through the information we received on the tip line that the secretary established the Iranian people have now sent us over 88,000 tips through the tip line that the secretary established back in November we use this information to expose the criminality of the regime and to hold violators accountable since the violent crackdown on protests last November the United States has sanctioned two judges and eight other regime officials for their roles in brutalizing the Iranian people we are continuing to review all information we receive from the Iranian people and we will continue to hold more regime officials responsible for human rights violations over the past week many Iranians took to the streets again to protest a corrupt government that lies to them president Trump recognized their courage with his tweets in Farsi this past week standing with the Iranian people we call on all nations to join our lead particularly by sanctioning Iranian officials for human rights violations the Iranian regime is in a deep economic crisis back in May of 2018 shortly after leaving the Iran nuclear deal secretary Pompeo said that we will deny revenue to Iran 's clerics who use it to fund terrorism and violence across the region he said that Iran 's expansionist foreign policy would no longer be cost free and that the economic price would be severe we have succeeded in raising the costs for Iran and the regime is badly managing an economic crisis of its own making the sanctions we have imposed are the toughest ever they are making an enormous difference and the Iranian people are rightly blaming their own government for 40 years of corruption mismanagement and kleptocracy Iran 's oil exports are down by more than 2 million barrels per day reducing Iran 's revenue from oil by more than 80 percent this amounts to a loss of around $ 50 billion annually Last month president Rouhani admitted that Iran had lost $ 200 billion from U.S. sanctions since their re imposition Iran is also facing a banking crisis with roughly half of all bank loans in arrears More than one in four young Iranians is jobless inflation is at 40 percent Today the question that people are asking is whether the regime has the competence to avoid a banking disaster and hyperinflation the economy the Iranian economy this year could contract by as much as 14 percent the regime is also facing a budget crisis to fund its new 2020 budget which comes out in March due to the staggering loss of oil revenue it is nearly impossible for the regime to put forward a credible budget after initially assuming oil exports would average 1.5 million barrels of oil per day in fy19 the regime later revised the figure down to 300,000 barrels Today Iran 's supreme leader in remarks said that the country 's reliance on oil should stop it is therefore surprising that the draft budget released just this month for 2020 assumes oil exports will average around 1 million barrels per day this number is pure fantasy and the regime knows it we should expect to see an enormous budget deficit this year the regime is also facing a domestic crisis with some of the worst protests in its 40 year history the public were livid that the IRGC lied to them for three days about shooting down a passenger jet which killed 176 people Four Iranian state television anchors and actors resigned over the last week One state tv newscaster wrote to her followers forgive me for the 13 years i told you lies the regime has elections coming up next month and these elections are a charade of the 247 sitting parliamentarians running for re election 90 were disqualified by an unelected Guardian Council the same council also disqualified 9,000 of the total 14,000 candidates the Iranian people know they have little to say in these sham elections which are meant to deceive the world that Iran is a republic and not an autocracy and finally Iran is facing a diplomatic crisis as its isolation deepens we were pleased to see the United Kingdom France and Germany initiate the Iran nuclear deal dispute resolution mechanism earlier this week prime minister Johnson called to replace the Iran nuclear deal with a new deal which we very much support Yesterday president Rouhani made veiled threats against European troops Today the supreme leader Khamenei lashed out against Europe for standing up to Iran 's nuclear blackmail as long as the regime threatens the world it will become further isolated until Iran behaves like a normal nation its isolation will only deepen happy to take a few questions ms ortagus Matt go ahead question First let me just say that the removal of these screens here is ms ortagus i know i saw you looking question it 's an improvement ms ortagus oh it 's an improvement Laughter question yes ms ortagus i thought you did n't like my prompters inaudible question no no i do n't no it was just they got in the they got in the way now i have a mr hook a clear line of sight a target Laughter ms ortagus thank you question look at you guys Laughter question yeah One on the designation mr hook yeah question can you be more specific about what the tip information was was it like video showing this guy directing the massacre or can you what was what form was it was it mr hook well one question and how did you corroborate it mr hook we received the videos of the massacre in that town and we also so what we do is we take information which comes in the form of photos and videos and text and then we corroborate it against our own intelligence that we have until we have sufficient evidence to make the decision question okay but you ca n't be more specific about what i mean what did the pictures or video show did it show this guy directing mr hook well the videos have shown well i 'm not going to get into the specifics of it but we do have video which i think the public has seen of these trucks that have gun mounts and they were mowing down Iranians and at that that massacre alone killed well over 100 people question Secondly there is a report that you guys threatened the e3 with auto tariffs if they did n't invoke the dispute mechanism resolution there seems to be some confusion about this is that true did you or someone else in the administration in this January 8th phone call with the e3 make that threat and then lastly later this month the remaining waivers for the nuclear cooperation expire can you give us some insight as to what the administration is thinking in terms of either revoking them or not renewing them or extending them and then last sorry Laughter this is for Morgan i want to can you come back to the podium after he 's finished and take a question or two ms ortagus not today but let 's go let 's get through we have to get off the stage pretty quickly because the secretary 's speaking so let 's try to mr hook on the question about auto tariffs we do n't comment on bilateral deliberations so i do n't have any comment i ca n't confirm or deny it question well but this is not bilateral this was four mr hook well you can call it quadrilateral but we do n't comment on those sorts of things and we also do n't preview decisions on things like waivers MS ortagus Nadia question thank you The UK Government has now listed Hizballah as a terrorist organization both political and military wing is this in coordination with the U.S. is this as a pressure you pressured the UK Government how do you see that mr hook well we 'd like to congratulate the United Kingdom for announcing today that it has designated the entire Hizballah organization as a terrorist group and frozen its assets there is no distinction between Hizballah 's political arm and its military arm i remember when i was negotiating with the e3 on trying to fix the deficiencies of the Iran nuclear deal this was a regular topic of the need to be designating Hizballah in its entirety we are very pleased to see the United Kingdom took that step ms ortagus Said question yes thank you sir in an interview yesterday with Orient Television you stated four points for a new deal One of them no enrichment whatsoever mr hook mm hmm question now we 're a bit confused on this because there is nothing in the UN whatever discussions and so on that dictates that there should be no enrichment for Iran whatsoever uranium enrichment mr hook well the UN Security Council in i 'm going to say 2006 2007 passed a resolution prohibiting Iran from enrichment that is the UN standard that the Iran nuclear deal abandoned and that was a mistake and so what secretary Pompeo announced in May of 2018 with his 12 demands is that the world needs to restore the standard of no enrichment which was passed unanimously by the UN Security Council it should never have been given away in negotiations with the Iranians on the Iran nuclear deal and so we think that 's the right standard and if you 're able to accomplish that it moots the question of breakout cycles and once you then allow enrichment you start having these discussions about breakout cycles and so the United Arab Emirates we think showed leadership in the region during the Bush administration when we negotiated the 123 agreement where the UAE has peaceful nuclear power without any enrichment More than half of the countries in the world today that have peaceful nuclear power do not enrich and so the Iranian regime knows that it does not need enrichment if it wants peaceful nuclear power we need to restore the standard ms ortagus Humeyra question Khamenei today said IRGC could easily take the fight beyond Iran 's borders and obviously we 've seen a lot of attacks in the region what is your response to those who say that your maximum pressure is making Iran more aggressive and since you wo n't change course on that should the region brace for more hostilities in the coming months mr hook well there have been always been hostilities in the region so the question suggests that things have been quiet before we targeted Qasem Soleimani so Iran has been running an escalatory expansionist foreign policy for 40 years they 're not used to being told no and president Trump is standing up to them in ways that have no historic precedent the regime does n't like it and so we 're not surprised to see the threats that the supreme leader makes this is standard talking points for the regime but what we saw after the Soleimani strike that Iran said that this concludes the retaliation for Qasem Soleimani they appear to be standing down for now but we have the combination of maximum economic pressure and restoring deterrence by the credible threat of military force if attacked is going to do more to advance peace and stability in the region than a policy of accommodation with the regime Iran was able to run an expansionist foreign policy under the Iran nuclear deal their expansion was funded by the Iran nuclear deal ms ortagus Rich question Brian speaking of quadrilateral relationships the e3 did announce that they are triggering the dispute mechanism but they were also fairly clear that they are not joining maximum pressure and they are clear that they want to save this deal do you think that the e3 have gone far enough mr hook well the e3 will make a decision in their own sovereign capacity but there is n't much left for the deal there is n't much left to preserve the Iran deal has been violated five times by this regime and i think it was Zarif who said that they will no longer honor additional restrictions and so there is n't much left of the deal and it starts to expire in October we 're only 10 months away from the UN arms embargo on the world 's leading sponsor of terrorism expiring and so that will allow countries like Russia and China to sell conventional weapons to Iran and this is something which the UN Security Council is going to have to address initiating the dispute resolution mechanism could if brought to its logical conclusion lead to the snapback of UN sanctions but that 's going to be a decision that the e3 make the president has called on the e3 to leave the Iran nuclear deal and join his efforts to get to a new deal that we are highly confident will do much more to deter Iran from ever getting a nuclear weapon than the Iran nuclear deal so we need to as i said restore that standard of no enrichment and we also need to go beyond just the nuclear threat we need to look at the regional aggression the ballistic missile testing missile proliferation and hostage taking ms ortagus shaun question thanks i was wondering if you could provide clarity on recent reports regarding the U.S. relationship with the exiled opposition there have been a series of reports saying the United States has advised its embassies not to have contact with the MEK noting that they may not have the greatest support within Iran 's borders and that that had been superseded what 's the directive now are you comfortable with U.S. embassies and other American officials meeting with the exiled opposition what are the guidelines on that mr hook so our position our strategy for almost three years now has been to stand with the Iranian people and the most recent cable that went out made very clear that we encourage our embassies and posts around the world to actively engage with the Iranian diaspora Just last week i was in Los Angeles which is home to the world 's largest Iranian diaspora met with many of them gave a few speeches secretary Pompeo has met with the Iranian diaspora around the world so it 's very important to meet with them to hear their concerns and to share with them our strategy our foreign policy which has been very successful at weakening the regime and weakening its proxies and restoring deterrence and so that work will continue we 've been doing it for three years we do n't play favorites among groups we do n't as i 've said you 've heard me say before the future of Iran will be decided by the Iranian people it will not be decided by the United States Government there are a range of groups out there they are very passionate about the future of Iran so the Iranian people will decide its future ms ortagus Nike question yes thank you Brian do you have anything on the female defector the only Iranian female olympic medalist is the U.S. in touch with her and would the United States welcome her if she 's seeking asylum here mr hook i do n't know if she is seeking asylum so i ca n't speak to that Morgan did put out a statement at the time when she defected ms ortagus a tweet mr hook a tweet she put out here 's what i 'll observe all of so much of the strength and the energy in the anti regime protests are being led by Iranian women and she is another example of a woman showing great bravery and courage defecting from the regime she represents so many of the Iranian women who are forced to wear the hijab who whose basic rights are not respected and so it 's not a surprise that she left i 'm sure many more Iranian women would like to leave the oppression that this regime presents to them and so but take a look at what Morgan tweeted it was very good ms ortagus Kylie question i just want to ask about the briefing that was scheduled earlier this week for congressional committees on Iran that was then abruptly cancelled can you give us a reason for the cancellation and if it will be rescheduled mr hook that 's a question for our Legislative Affairs office i believe it was just simply a scheduling conflict there 's nothing more to it than that but leg affairs would have the best answer for you question and can i have one more question mr hook yeah question just with regard to the U.S. and Iran and any direct communications so earlier this week secretary Pompeo said it was not true that there 's no communication between the U.S. and Iran and we heard secretary Esper say that the ball is in Iran 's court with regard to the way forward so has the U.S. used these channels of communication in recent weeks to say to Iran we want direct communication between the U.S. and Iranians or is the ball in their court to prompt that conversation mr hook yeah i 've heard these rumors from a few people that there is no back channel there is no sort of the message that you described i 'm not aware of that and so we question sorry which message are you not aware of mr hook the one that you talked about i 'm just saying that that is n't true i 've heard the rumors they 're not true secretary Esper is correct the ball is in Iran 's court president Trump has been making clear for almost three years and so has secretary Pompeo about we would like to have our diplomacy met with diplomacy and not with kinetic action and that 's really a question for the Iranian regime they continually reject diplomatic off ramps and as a consequence they 're now facing a series of domestic crises that i laid out earlier MS ortagus okay we 're going to do last question ft question thank you you mentioned the people in Iran are blaming the government for the problems that they 're facing do you think that pressure will keep up and what will be the impact on Tehran and one extra one if i may does the U.S. have an assessment on what Iran 's nuclear breakout time is is it under a year and can you give us a little bit of precision about exactly how long you think it is mr hook on the first one we have seen protests against the Iranian regime in Iran Iraq and Lebanon and the peoples of these three countries are all protesting the same model of corruption and sectarian violence and we fully expect these protests to continue because the Iranian regime is facing a crisis of legitimacy and credibility we expect that to deepen in 2020 not just in Iran but in other states on the breakout your question kind of makes my point if we can get to no enrichment we do n't need to worry about breakout cycles and that really is the problem is once you concede that Iran can enrich you 're always going to be in this discussion of how strong is the inspections regime and how close are they to a nuclear breakout cycle if we can get to no enrichment which we need to do because Iran will never be allowed to get a nuclear weapon that is the best way to accomplish it ms ortagus okay mr hook and the specific answer is a question for our Intelligence Community MS ortagus thanks mr hook okay thanks ms ortagus see you guys soon"
"July 20, 2020","authoritarian regimes are poorly designed to deal with the kind of crisis that this pandemic has engendered Democracies where we are free to critique and comment these are the kinds of places where scientists and freedom and thought and journalists can all operate freely these are the societies that will deliver the right outcome this is where we see the true benefit of freedom and liberty and in the days and weeks and months ahead i am confident that the world will see that as well secretary of State Michael R. Pompeo April 29 2020 The United States is committed to the protection of democracy good governance and human rights in the global response to the COVID-19 pandemic societies that respect and defend human rights fundamental freedoms democratic institutions and the rule of law are best equipped to respond transparently and effectively to crises a robust respect for human rights as well as whole of society action are necessary parts of the solution to public health crises government responses to the COVID-19 epidemic must not use the disease as a pretext for repression of persons or ideas The United States champions democratic responses to the COVID Crisis The U.S. Government leverages bilateral and multilateral diplomacy foreign assistance and other foreign policy tools and resources to advance democratic norms and combat authoritarian responses to the COVID-19 pandemic at the State Department the Bureau for Democracy Human Rights and Labor DRL has launched a COVID-19 Working Group to coordinate policy and programming on government transparency and accountability full participation of civil society and access to information The U.S. Agency for International Development 's usaid center of excellence on democracy human rights and Governance drg center has created a cross cutting drg issues and COVID-19 Working Group The State Department and USAID have undertaken the following actions to date to advance democratic values during the pandemic in Azerbaijan the State Department has urged authorities to ensure that actions taken in response to COVID-19 are not used to silence civil society advocacy opposition voices or public discussion azerbaijani authorities have harassed and arrested and in one case institutionalized in a psychiatric hospital opposition members and others who have criticized the government in Bangladesh the State Department has emphasized the need for a free and independent media as the government uses the digital security act to charge and arrest journalists cartoonists doctors academics and other individuals who have critiqued the government 's response to the COVID-19 pandemic also in Bangladesh ambassador at Large for International Religious Freedom Sam Brownback has publicly pressed the government to lift the internet and phone restrictions at the Rohingya refugee camps in Cox 's Bazar in Bolivia USAID is working to help safeguard electoral integrity by providing support for local stakeholders to determine new election date timing on scientific evidence and trends regarding the virus advance in Bolivia and the region in the Democratic Republic of the Congo USAID has supported community radio in order to disseminate information on COVID -19 and counter misinformation including production of the song Toko Longa Corona we will beat the Coronavirus by leading Congolese artists in El Salvador the United States has urged the government to avoid rhetoric that could encourage extra judicial killings after its president authorized police to use deadly force against gang members claiming they could exploit a security vacuum caused by COVID-19 to engage in criminal activities while the attention of security forces is shifted to the pandemic response in Guinea USAID is working with radio and tv studios in Conakry and N'Zerekore and an extensive network of institutional community civil society and media partners to disseminate key COVID-19 prevention messaging and fight misinformation in Hong Kong secretary Pompeo has warned against Beijing 's increasing efforts under cover of COVID-19 to interfere with Hong Kong governance which includes enacting a national security law that restricts Hong Kong residents rights and eviscerates the rule of law in Indonesia USAID 's National Accountability Program is upgrading and enhancing the national complaint system to support an effective COVID-19 response the program will also expand its procurement transparency work to cover COVID-19 related procurement and will be conducting rapid corruption risk assessments and online procurement training for the Ministry of Health 's Inspector General in Iran and Syria the State Department in coordination with international partners has consistently shed light on the lies of the Iranian and Syrian regimes and called for accountability for their actions at the UN Security Council these brutal regimes continue to focus on violently cracking down on dissent and sowing disinformation on the impact of U.S. and EU sanctions instead of committing to take critical actions to mitigate the danger of COVID-19 such as the release of arbitrarily held detainees from overcrowded prisons in Kosovo the USAID Justice System Strengthening Program jssp facilitated the drafting of an emergency preparedness plan for the Kosovo Judicial Council to guide the Council 's decisions and work during COVID-19 and when responding to other emergencies in the future JSSP is also supporting the development of individual court action plans that among other matters will address how to deal with future backlogs resulting from the limitation of hearings during the pandemic in Mali USAID supported efforts to strengthen protective health measures for legislative elections March 29 and April 19 providing soap and handwashing stations across more than 22,000 polling stations that reached nearly 2.7 million voters in the lead up to the elections USAID also supported the production of public service announcements to use masks maintain social distancing and wash hands at the voting centers in Moldova U.S. assistance has enabled partners to purchase protective masks gloves and hand sanitizer for five independent local media outlets so that they can continue to report in a safe manner in Russia the State Department has condemned threats of violence made by the head of Russia 's Chechen Republic Ramzan Kadyrov against two journalists over their coverage of the pandemic as well as Russian federal authorities decisions to censor articles unfavorably covering the government 's pandemic response in Ukraine the State Department has spoken out against the scapegoating of vulnerable groups the mayor of Ivano Frankivsk called for the expulsion of Roma from the city alleging that Roma were violating quarantine restrictions also U.S assistance in Ukraine has provided a series of ad hoc consultations and legal assistance to media professionals journalists and activists on the impact of emergency laws and quarantine restrictions on freedom of expression in Uzbekistan the State Department has promoted the rights of journalists to express themselves freely including to criticize Uzbekistan 's amended criminal code which applies hefty fines or up to three years in prison for the distribution of false information on COVID-19 as a member of the Freedom Online Coalition media freedom coalition global action on disability network Community of Democracies and open government partnership the United States has been an active partner in calling on governments to respect democratic values and human rights in their responses to COVID-19 in the face of an alarming global increase of gender based violence GBV during the pandemic U.S. assistance such as the voices against violence initiative-- funds hotlines and psychosocial support services for survivors and those at risk of GBV U.S. programs continue to provide significant resources for LGBTI persons through emergency assistance security trainings and short term urgent programmatic interventions that advocate for inclusive COVID-19 relief efforts and provide legal support to human rights defenders for further information please contact drl-press@state.gov drg-covid-core@usaid.gov or visit State.gov or usaid.gov/coronavirus"
"October 6, 2017",Media Note Office of the Spokesperson Washington DC October 6 2017 The Department of State has awarded the construction contract for the new U.S. Embassy in Mexico City Mexico to Caddell Construction Company of montgomery Alabama the new campus will include a Chancery Marine residence and support facilities the architect for the project is the joint venture of Tod Williams Billie tsien architects Davis Brody Bond of New York New York since 1999 as part of the Department 's Capital Security Construction Program the Bureau of Overseas Buildings Operations OBO has completed 138 new diplomatic facilities with an additional 61 projects now in design or under construction OBO 's mission is to provide safe secure and functional facilities that represent the U.S. government to host nations and support our staff in the achievement of U.S. foreign policy objectives these facilities represent American values and the best in American architecture engineering technology sustainability art culture and construction execution for further information please contact Christine Foushee at FousheeCT@state.gov or visit https://overseasbuildings.state.gov/.
"July 2, 2019",the below is attributable to Spokesperson Morgan Ortagus secretary Michael R. Pompeo met today with Kazakhstani foreign minister Beibut Atamkulov the secretary expressed strong support for the U.S.-Kazakhstani enhanced strategic partnership and looked forward to continuing to strengthen bilateral relations with the new government of president Kassym Jomart Tokayev the secretary welcomed recent statements by president Tokayev on increasing political participation in Kazakhstan and actions to strengthen the protection of fundamental freedoms for the people of Kazakhstan the secretary praised Kazakhstan 's global leadership in the repatriation and reintegration of its citizens from Syria and encouraged Kazakhstan to share its experience with other nations the secretary also commended Kazakhstan 's support for a lasting peace in Afghanistan
"March 2, 2020",Principal deputy assistant secretary of State for the Bureau of International Narcotics and Law Enforcement Affairs INL James A. Walsh will lead the U.S. delegation to the 63rd Commission on Narcotic Drugs cnd from March 2 6 in Vienna Austria at the CND the United States will continue to combat the global opioid crisis and synthetic drug threat by voting to place 13 dangerous and harmful substances under international control including 12 new psychoactive substances two of which are fentanyl related substances The United States will build on president Trump 's Call to Action on the World Drug Problem by emphasizing the role of effective public private partnerships to address the production trafficking and illicit diversion of drugs and their precursors and to support drug use prevention treatment and long term recovery The United States will utilize the high level international platform of the CND to promote a balanced and comprehensive approach to drug control for the next decade in this context the United States will support the efforts of the CND to consider questions on the international scheduling of cannabis while preserving the integrity of this important science driven process the U.S. delegation includes representatives from the Department of State the Department of Justice the Department of Health and Human Services the Food and Drug Administration and the Department of Agriculture The State Department through INL combats drug trafficking transnational crime and corruption worldwide by helping governments and civil societies build strong stable and fair criminal justice systems that counter the transnational crime and instability that threaten the security of the United States and our citizens for more information contact INL-PAPD@state.gov and follow the Bureau of International Narcotics and Law Enforcement Affairs on twitter @stateinl and on facebook at http://www.facebook.com/stateinl
"July 26, 2018",secretary pompeo good afternoon everyone since the earliest days of his presidency president Trump has directed his administration to advance and defend the rights of religious freedom at home and abroad because religious freedom is a universal god given right to which all people are entitled it is also an essential building block for all free societies ensuring religious freedom around the world is a key priority of the Trump administration 's foreign policy to that end today we concluded the first ever ministerial to advance religious freedom the success of this event was truly unbelievable the level of enthusiasm from partner groups and other governments was so high that i 've already committed to doing this again to holding the second ministerial a year from now This week we were joined by more than 80 foreign delegations and religious leaders from all across the world who work closely with civil society groups who are often on the frontlines of reporting and responding to cases of religious intolerance and persecution i want to thank the dozens of ministerial level foreign dignitaries that attended i interact professionally with them every day in the course of diplomacy but as a man of faith their presence this week was significant to me personally as well Two we had survivors of religious persecution with us sharing their stories and driving home why this work is so important the vice president and i had a chance to sit with a number of them and hear their stories to talk about why they were working in this field why religious freedom meant so much to them and also today vice president Pence gave a speech to bring attention to the plight of religious minorities of all faiths who are persecuted for what they believe often by their own governments the vice president also announced that in the coming months the United States Government will launch a genocide recovery and persecution response initiative this is a diplomatic and assistance effort specifically focused on ensuring communities of faith and local organizations are part of the solution in recovering from atrocities while focused first on our ongoing response to the genocide committed by ISIS in Iraq our hope is that this program will assist victims in many different places the department was also proud to host several other U.S. senior government officials to speak this week including senior advisor to the president Jared Kushner OMB director Mick Mulvaney and USAID administrator Mark Green and tonight UN ambassador Nikki Haley will be giving remarks we at the State Department are also undertaking several new initiatives to further the cause of religious freedom around the world First as the vice president announced this morning we 've created an International Religious Freedom Fund this is a joint fund with other nations that will support the work of religious freedom defenders and assist victims of religious persecution Second we have created a new International Visitor Leadership Program to bring those working on the frontlines of religious freedom issues together all different faiths from all around the world to come to the United States it 's a ten day project and will focus on promoting religious pluralism and protecting the rights of religious minorities if you are a champion of religious freedom be on the lookout for announcements coming soon Third in just a couple months the State Department will host a three day accelerated workshop called boldline to support and scale innovative public private partnerships that promote and defend religious freedom around the world the open calls for proposals is now live on challenge.gov Fourth we all know that persecution and violence are n't constrained by borders we look forward to announcements by several partner countries who have offered to host follow up regional conferences to explore specific measures that whole regions can take to promote religious freedom and finally in just a few moments we 'll release the Potomac Declaration and the potomac plan of action The Potomac Declaration is a formal affirmation that says right up front that the United States takes religious freedom seriously that we will work with others around the world to help those under attack for their beliefs and that we expect leaders around the world to make it their priority as well the plan of action provides concrete ways the international community and governments can do more to protect religious freedom and to protect vulnerable religious communities in their own countries in closing i 'd like to thank ambassador Brownback and his staff for their work on this event what you all have done to put this on is remarkable and an incredibly important moment in America 's support for religious freedom i want to i want also to commend the entire State Department for executing an event whose goal is ensuring the sacred right of every man woman and child to worship as they please there is truly eternal significance in the work that we have done i will now invite ambassador Brownback for a few comments and to take a few questions thank you question Off mike mr. secretary can you inaudible
"March 28, 2019",the U.S. government is closely following the case of U.S. Consulate General Istanbul employee Metin Topuz whose trial began on March 26th for nearly three decades and under our direction mr. Topuz worked tirelessly to promote law enforcement cooperation between the United States and Turkey contributing to the safety and security of both our nations we have seen no credible evidence that mr. Topuz was involved in any illegal activities or doing anything other than official duties on behalf of the U.S. government and to the benefit of both the United States and Turkey we reiterate our call on the Turkish government to resolve his case in a timely transparent and fair manner
"June 1, 2020",today the U. S. Department of State announces a reward for information leading to the arrest and/or conviction of Venezuelan national Joselit de la Trinidad Ramirez Camacho for participating in transnational organized crime the Venezuelan people deserve a government that they have chosen freely and whose officials do not conspire with associates to engage in crimes of theft from the people of Venezuela including money laundering to hide the proceeds of those illicit activities The United States is committed to helping Venezuelans restore their democracy through free and fair presidential elections that will provide them with honest and capable national leadership the Department is offering a reward of up to $ 5 million for information leading to the arrest and/or conviction of Joselit de la Trinidad Ramirez Camacho for participating in transnational organized crime while holding public positions in the Venezuelan regime Ramirez Camacho violated the public trust by conspiring to launder illicit funds obtained in Venezuela Ramirez Camacho the current national superintendent of cryptoactive and related activities in the Maduro regime was charged by indictment along with former Venezuelan vice president Tareck El Aissami in the Southern District of New York with several transnational crimes including money laundering this reward offer is made under the Department of State 's Transnational Organized Crime Rewards Program tocrp together with the Narcotics Rewards Program more than 75 major narcotics traffickers have been brought to justice since these programs began in 1986 The Department of State has paid more than $ 130 million in rewards for information leading to those apprehensions The Bureau of International Narcotics and Law Enforcement Affairs manages these rewards programs in close coordination with the Drug Enforcement Administration DEA the Federal Bureau of Investigation the U.S. Immigration and Customs Enforcement Homeland Security Investigations ice hsi and other U.S. agencies these actions demonstrate the State Department 's commitment to support law enforcement efforts and a whole of government approach to combating transnational organized crime for more information on the individuals listed above and the Transnational Organized Crime Rewards Program please see https://2017-2021.state.gov/joselit-de-la-trinidad-ramirez-camacho-wanted/ or contact inl-papd@state.gov
