publish_date,entities
"April 1, 2023","[{""text"": ""Economic Growth Energy"", ""label"": ""ORG""}, {""text"": ""Jose W. Fernandez"", ""label"": ""PER""}, {""text"": ""Toronto Canada"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Canada"", ""label"": ""LOC""}, {""text"": ""Eurasia Group"", ""label"": ""ORG""}, {""text"": ""Bank of Montreal BMO Financial Group"", ""label"": ""ORG""}, {""text"": ""Canada"", ""label"": ""LOC""}, {""text"": ""Fernandez"", ""label"": ""PER""}, {""text"": ""North America"", ""label"": ""LOC""}, {""text"": ""Fernandez"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Fernandez"", ""label"": ""PER""}]"
"August 2, 2023","[{""text"": ""BLINKEN"", ""label"": ""PER""}, {""text"": ""Mandela"", ""label"": ""PER""}, {""text"": ""BLINKEN"", ""label"": ""PER""}, {""text"": ""Mandela Washington Fellowship Summit"", ""label"": ""MISC""}, {""text"": ""Liz"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Mandela"", ""label"": ""PER""}, {""text"": ""Mandela Washington Fellowship Program"", ""label"": ""MISC""}, {""text"": ""IREX"", ""label"": ""ORG""}, {""text"": ""Bureau of African Affairs"", ""label"": ""ORG""}, {""text"": ""Liz"", ""label"": ""PER""}, {""text"": ""Obama"", ""label"": ""PER""}, {""text"": ""yali"", ""label"": ""PER""}, {""text"": ""Obama"", ""label"": ""PER""}, {""text"": ""Biden"", ""label"": ""PER""}, {""text"": ""Mandela Fellowship"", ""label"": ""ORG""}, {""text"": ""African"", ""label"": ""MISC""}, {""text"": ""saharan Africa"", ""label"": ""LOC""}, {""text"": ""Africa"", ""label"": ""LOC""}, {""text"": ""Africans"", ""label"": ""MISC""}, {""text"": ""Americans"", ""label"": ""MISC""}, {""text"": ""Allen"", ""label"": ""PER""}, {""text"": ""Niger"", ""label"": ""LOC""}, {""text"": ""YALI"", ""label"": ""ORG""}, {""text"": ""Africa"", ""label"": ""LOC""}, {""text"": ""Mandela"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Des Moines Iowa"", ""label"": ""LOC""}, {""text"": ""Atlanta Georgia"", ""label"": ""LOC""}, {""text"": ""Allen"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Africa"", ""label"": ""LOC""}, {""text"": ""saharan Africa"", ""label"": ""LOC""}, {""text"": ""Africa"", ""label"": ""LOC""}, {""text"": ""Africa"", ""label"": ""LOC""}, {""text"": ""Africans"", ""label"": ""MISC""}, {""text"": ""Africa"", ""label"": ""LOC""}, {""text"": ""African"", ""label"": ""MISC""}, {""text"": ""African"", ""label"": ""MISC""}, {""text"": ""Liz"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Africa"", ""label"": ""LOC""}, {""text"": ""Mandela Fellows"", ""label"": ""MISC""}]"
"June 30, 2022","[{""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""People ' s Republic of China"", ""label"": ""LOC""}, {""text"": ""One country Two"", ""label"": ""MISC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""Beijing"", ""label"": ""LOC""}, {""text"": ""Hong Kongers"", ""label"": ""MISC""}, {""text"": ""Beijing"", ""label"": ""LOC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""Hong Kongers"", ""label"": ""MISC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}]"
"August 4, 2022","[{""text"": ""HUN"", ""label"": ""PER""}, {""text"": ""Khmer"", ""label"": ""MISC""}, {""text"": ""BLINKEN"", ""label"": ""PER""}, {""text"": ""Kerry"", ""label"": ""PER""}, {""text"": ""Clinton"", ""label"": ""PER""}, {""text"": ""Powell"", ""label"": ""PER""}, {""text"": ""Cambodia"", ""label"": ""LOC""}, {""text"": ""ASEAN"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""ASEAN"", ""label"": ""LOC""}, {""text"": ""ASEAN"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Cambodia"", ""label"": ""LOC""}]"
"September 29, 2021","[{""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Qatar"", ""label"": ""LOC""}, {""text"": ""Hizballah"", ""label"": ""MISC""}, {""text"": ""Gulf"", ""label"": ""LOC""}, {""text"": ""Ali Reda Hassan al Banai Ali Reda al Qassabi Lari"", ""label"": ""PER""}, {""text"": ""Abd al Muayyid al Banai"", ""label"": ""PER""}, {""text"": ""Hizballah Abd al Rahman Abd al Nabi Shams Yahya Muhammad al Abd al Muhsin Majdi Fa'iz al Ustadz"", ""label"": ""PER""}, {""text"": ""Sulaiman al Banai"", ""label"": ""PER""}, {""text"": ""E.O"", ""label"": ""ORG""}, {""text"": ""Ali al Banai"", ""label"": ""PER""}, {""text"": ""Qatar"", ""label"": ""LOC""}, {""text"": ""AlDar Properties"", ""label"": ""ORG""}, {""text"": ""Sulaiman al Banai"", ""label"": ""PER""}, {""text"": ""Gulf Cooperation Council"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""Foreign Terrorist Organization"", ""label"": ""ORG""}, {""text"": ""SDGT"", ""label"": ""ORG""}, {""text"": ""GCC"", ""label"": ""ORG""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Qatar"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Government of Bahrain"", ""label"": ""ORG""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""Europe"", ""label"": ""LOC""}, {""text"": ""South"", ""label"": ""LOC""}, {""text"": ""Central America"", ""label"": ""LOC""}, {""text"": ""Hizballah"", ""label"": ""MISC""}, {""text"": ""Department of the Treasury"", ""label"": ""ORG""}]"
"May 26, 2023","[{""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""America"", ""label"": ""LOC""}, {""text"": ""Cooperative Republic of Guyana"", ""label"": ""LOC""}, {""text"": ""Independence Day"", ""label"": ""MISC""}, {""text"": ""Mahdia Secondary School Dormitory"", ""label"": ""ORG""}, {""text"": ""Guyanese"", ""label"": ""MISC""}, {""text"": ""Guyana"", ""label"": ""LOC""}, {""text"": ""Mahdia"", ""label"": ""LOC""}, {""text"": ""Guyana"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Caribbean Partnership"", ""label"": ""ORG""}, {""text"": ""Climate Crisis 2030"", ""label"": ""MISC""}, {""text"": ""Independence Day"", ""label"": ""MISC""}]"
"January 27, 2023","[{""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Azerbaijani"", ""label"": ""MISC""}, {""text"": ""Tehran"", ""label"": ""LOC""}, {""text"": ""Aliyev"", ""label"": ""PER""}, {""text"": ""iran"", ""label"": ""LOC""}, {""text"": ""Vienna Convention on Diplomatic Relations"", ""label"": ""ORG""}, {""text"": ""Iran"", ""label"": ""LOC""}]"
"September 25, 2023","[{""text"": ""BLINKEN"", ""label"": ""PER""}, {""text"": ""Brown"", ""label"": ""PER""}, {""text"": ""Pacific Island"", ""label"": ""LOC""}, {""text"": ""Biden"", ""label"": ""PER""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""Indo Pacific"", ""label"": ""LOC""}, {""text"": ""Biden"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""Indo Pacific"", ""label"": ""LOC""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""World War II"", ""label"": ""MISC""}, {""text"": ""Cook Islanders"", ""label"": ""ORG""}, {""text"": ""IVLP"", ""label"": ""ORG""}, {""text"": ""Academy of Women"", ""label"": ""ORG""}, {""text"": ""American"", ""label"": ""MISC""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Pacific Island"", ""label"": ""LOC""}, {""text"": ""Pacific Island Forum"", ""label"": ""ORG""}, {""text"": ""PIF"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Frankie Reed"", ""label"": ""PER""}, {""text"": ""PIF"", ""label"": ""ORG""}, {""text"": ""Pacific Community"", ""label"": ""ORG""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""Pacific Island Forum"", ""label"": ""MISC""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""Pacific Island"", ""label"": ""LOC""}, {""text"": ""Pacific Islanders"", ""label"": ""LOC""}, {""text"": ""BROWN"", ""label"": ""PER""}, {""text"": ""BLINKEN"", ""label"": ""PER""}, {""text"": ""BROWN"", ""label"": ""PER""}, {""text"": ""Blinken"", ""label"": ""PER""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Blinken"", ""label"": ""PER""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""BLINKEN"", ""label"": ""PER""}, {""text"": ""BROWN"", ""label"": ""PER""}, {""text"": ""KRITENBRINK"", ""label"": ""PER""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""Pacific Islands Forum"", ""label"": ""ORG""}, {""text"": ""Pacific Community"", ""label"": ""ORG""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Cook Islands"", ""label"": ""LOC""}, {""text"": ""Pacific Ocean"", ""label"": ""LOC""}, {""text"": ""Antony J. Blinken"", ""label"": ""PER""}, {""text"": ""United States of America"", ""label"": ""LOC""}, {""text"": ""Mark Brown Cook"", ""label"": ""PER""}, {""text"": ""BROWN"", ""label"": ""PER""}, {""text"": ""BLINKEN"", ""label"": ""PER""}]"
"May 12, 2021","[{""text"": ""nadel"", ""label"": ""PER""}, {""text"": ""Eid Mubarak"", ""label"": ""PER""}, {""text"": ""Muslim"", ""label"": ""MISC""}, {""text"": ""Ramadan"", ""label"": ""PER""}, {""text"": ""Blinken"", ""label"": ""PER""}, {""text"": ""Bob Boehme"", ""label"": ""PER""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""International Religious Freedom"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Office of International Religious Freedom"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""First Amendment"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""America"", ""label"": ""LOC""}, {""text"": ""Muslim"", ""label"": ""MISC""}, {""text"": ""Christians"", ""label"": ""MISC""}, {""text"": ""ISIS"", ""label"": ""ORG""}, {""text"": ""Yezidis Christians"", ""label"": ""MISC""}, {""text"": ""Iraq"", ""label"": ""LOC""}, {""text"": ""Syria"", ""label"": ""LOC""}, {""text"": ""Burmese"", ""label"": ""MISC""}, {""text"": ""Rohingya"", ""label"": ""MISC""}, {""text"": ""Burma"", ""label"": ""LOC""}, {""text"": ""Chinese"", ""label"": ""MISC""}, {""text"": ""Muslim"", ""label"": ""MISC""}, {""text"": ""Xinjiang"", ""label"": ""LOC""}, {""text"": ""Tibetan"", ""label"": ""MISC""}, {""text"": ""Christians"", ""label"": ""MISC""}, {""text"": ""Falun Gong"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""al Aqsa Mosque"", ""label"": ""LOC""}, {""text"": ""Israeli"", ""label"": ""MISC""}, {""text"": ""Palestinian"", ""label"": ""MISC""}, {""text"": ""Ramadan"", ""label"": ""MISC""}, {""text"": ""nadel"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Haram al Sharif Temple Mount"", ""label"": ""LOC""}, {""text"": ""Jews"", ""label"": ""MISC""}, {""text"": ""Muslims Christians"", ""label"": ""MISC""}, {""text"": ""Baha'is"", ""label"": ""MISC""}, {""text"": ""Israel"", ""label"": ""LOC""}, {""text"": ""West Bank"", ""label"": ""LOC""}, {""text"": ""Gaza"", ""label"": ""LOC""}, {""text"": ""United Nations"", ""label"": ""ORG""}, {""text"": ""Xinjiang China"", ""label"": ""LOC""}, {""text"": ""Blinken"", ""label"": ""PER""}, {""text"": ""Muslim"", ""label"": ""MISC""}, {""text"": ""Chinese"", ""label"": ""MISC""}, {""text"": ""nadel"", ""label"": ""PER""}, {""text"": ""Xinjiang"", ""label"": ""LOC""}, {""text"": ""Chinese"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Chinese"", ""label"": ""MISC""}, {""text"": ""PRC"", ""label"": ""ORG""}, {""text"": ""Xinjiang"", ""label"": ""LOC""}, {""text"": ""PRC Government"", ""label"": ""ORG""}, {""text"": ""Humeyra"", ""label"": ""PER""}, {""text"": ""China"", ""label"": ""LOC""}, {""text"": ""China"", ""label"": ""LOC""}, {""text"": ""U.S. Commission on International Religious Freedom"", ""label"": ""ORG""}, {""text"": ""Winter Olympics"", ""label"": ""MISC""}, {""text"": ""Beijing"", ""label"": ""LOC""}, {""text"": ""Uyghur Muslims Now State Department"", ""label"": ""ORG""}, {""text"": ""Olympics"", ""label"": ""MISC""}, {""text"": ""Burma"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""nadel"", ""label"": ""PER""}, {""text"": ""Burma"", ""label"": ""LOC""}, {""text"": ""Rohingya"", ""label"": ""MISC""}, {""text"": ""Rakhine State"", ""label"": ""LOC""}, {""text"": ""Rohingya"", ""label"": ""MISC""}, {""text"": ""Burma"", ""label"": ""LOC""}, {""text"": ""Beijing"", ""label"": ""LOC""}, {""text"": ""Olympics"", ""label"": ""MISC""}, {""text"": ""Beijing"", ""label"": ""LOC""}, {""text"": ""Xinjiang"", ""label"": ""LOC""}, {""text"": ""Tibet"", ""label"": ""LOC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""Olympics"", ""label"": ""MISC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Beijing"", ""label"": ""LOC""}, {""text"": ""Congress"", ""label"": ""ORG""}, {""text"": ""China"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""China"", ""label"": ""LOC""}, {""text"": ""Commerce Department"", ""label"": ""ORG""}, {""text"": ""Xinjiang"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""China"", ""label"": ""LOC""}, {""text"": ""Government of China"", ""label"": ""ORG""}, {""text"": ""Xinjiang"", ""label"": ""LOC""}, {""text"": ""Earth"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""China"", ""label"": ""LOC""}, {""text"": ""Xinjiang"", ""label"": ""LOC""}, {""text"": ""Uyghurs"", ""label"": ""MISC""}, {""text"": ""Trump"", ""label"": ""ORG""}, {""text"": ""Biden"", ""label"": ""PER""}, {""text"": ""Trump"", ""label"": ""ORG""}, {""text"": ""nadel"", ""label"": ""PER""}, {""text"": ""Religious Freedom Act"", ""label"": ""MISC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Wolf Act"", ""label"": ""MISC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""First Amendment"", ""label"": ""MISC""}, {""text"": ""India"", ""label"": ""LOC""}, {""text"": ""South Asia"", ""label"": ""LOC""}, {""text"": ""India"", ""label"": ""LOC""}, {""text"": ""India"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Indians"", ""label"": ""MISC""}, {""text"": ""CAA"", ""label"": ""ORG""}, {""text"": ""FCRA"", ""label"": ""ORG""}, {""text"": ""India"", ""label"": ""LOC""}, {""text"": ""Hindus"", ""label"": ""MISC""}, {""text"": ""Hindus Christians"", ""label"": ""MISC""}, {""text"": ""Sikhs"", ""label"": ""MISC""}, {""text"": ""Bangladesh Pakistan"", ""label"": ""LOC""}, {""text"": ""Afghanistan"", ""label"": ""LOC""}, {""text"": ""nadel"", ""label"": ""PER""}, {""text"": ""India"", ""label"": ""LOC""}, {""text"": ""Indian"", ""label"": ""MISC""}, {""text"": ""India"", ""label"": ""LOC""}, {""text"": ""Government of India"", ""label"": ""ORG""}, {""text"": ""India"", ""label"": ""LOC""}, {""text"": ""Indian"", ""label"": ""MISC""}, {""text"": ""Bangladesh"", ""label"": ""LOC""}, {""text"": ""Bangladesh Pakistan"", ""label"": ""LOC""}, {""text"": ""Afghanistan"", ""label"": ""LOC""}, {""text"": ""nadel"", ""label"": ""PER""}, {""text"": ""Hindu"", ""label"": ""MISC""}, {""text"": ""Christian"", ""label"": ""MISC""}, {""text"": ""India"", ""label"": ""LOC""}, {""text"": ""nadel"", ""label"": ""PER""}, {""text"": ""Dan"", ""label"": ""PER""}]"
"August 6, 2021","[{""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""America"", ""label"": ""LOC""}, {""text"": ""Jamaica"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Jamaica"", ""label"": ""LOC""}, {""text"": ""Western Hemisphere"", ""label"": ""LOC""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Caribbean Resilience Partnership"", ""label"": ""ORG""}, {""text"": ""Jamaica"", ""label"": ""LOC""}]"
