publish_date,entities
"September 9, 2009","[{""text"": ""United Nations"", ""label"": ""ORG""}, {""text"": ""Contact Group"", ""label"": ""ORG""}, {""text"": ""Somalia"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""New York Declaration"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""International Ship and Port Facility Security Code"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Japan Singapore"", ""label"": ""LOC""}, {""text"": ""United Kingdom"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Declaration Panama"", ""label"": ""MISC""}, {""text"": ""Bahamas Liberia"", ""label"": ""LOC""}, {""text"": ""Marshall Islands"", ""label"": ""LOC""}, {""text"": ""New York Declaration"", ""label"": ""MISC""}, {""text"": ""Contact Group"", ""label"": ""MISC""}, {""text"": ""Contact Group"", ""label"": ""ORG""}, {""text"": ""Coast of Somalia"", ""label"": ""LOC""}, {""text"": ""United Nations"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Contact Group"", ""label"": ""ORG""}, {""text"": ""New York Declaration"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Contact Group"", ""label"": ""ORG""}, {""text"": ""Contact Group"", ""label"": ""ORG""}, {""text"": ""Horn of Africa"", ""label"": ""LOC""}, {""text"": ""NATO"", ""label"": ""ORG""}, {""text"": ""European Union"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Somalia"", ""label"": ""LOC""}]"
"March 19, 2014","[{""text"": ""Syrian"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Syrian"", ""label"": ""MISC""}, {""text"": ""Syrian"", ""label"": ""MISC""}, {""text"": ""American"", ""label"": ""MISC""}, {""text"": ""Syrian"", ""label"": ""MISC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Syrian"", ""label"": ""MISC""}, {""text"": ""Syrian"", ""label"": ""MISC""}, {""text"": ""Department"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Vienna Convention on Diplomatic Relations the Department"", ""label"": ""ORG""}, {""text"": ""Syrian Mission"", ""label"": ""ORG""}, {""text"": ""Syrian"", ""label"": ""MISC""}, {""text"": ""Washington"", ""label"": ""LOC""}, {""text"": ""Syrian"", ""label"": ""MISC""}, {""text"": ""Michigan"", ""label"": ""LOC""}, {""text"": ""Texas"", ""label"": ""LOC""}, {""text"": ""Department"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Syrian Embassy"", ""label"": ""ORG""}]"
"March 6, 2009","[{""text"": ""clinton"", ""label"": ""PER""}, {""text"": ""Lavrov"", ""label"": ""PER""}, {""text"": ""u.s"", ""label"": ""LOC""}, {""text"": ""russian"", ""label"": ""MISC""}, {""text"": ""Afghanistan Iran"", ""label"": ""LOC""}, {""text"": ""North Korea"", ""label"": ""LOC""}, {""text"": ""START"", ""label"": ""MISC""}, {""text"": ""Afghanistan"", ""label"": ""LOC""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""Afghanistan"", ""label"": ""LOC""}, {""text"": ""G-20"", ""label"": ""ORG""}, {""text"": ""London"", ""label"": ""LOC""}, {""text"": ""Obama"", ""label"": ""PER""}, {""text"": ""Medvedev"", ""label"": ""PER""}, {""text"": ""Georgia"", ""label"": ""LOC""}, {""text"": ""Geneva"", ""label"": ""LOC""}, {""text"": ""Lavrov"", ""label"": ""PER""}, {""text"": ""NATO Russia Council"", ""label"": ""ORG""}, {""text"": ""Lavrov"", ""label"": ""PER""}, {""text"": ""Russian American"", ""label"": ""MISC""}, {""text"": ""LAVROV"", ""label"": ""PER""}, {""text"": ""Hillary Clinton"", ""label"": ""PER""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""English"", ""label"": ""MISC""}, {""text"": ""English"", ""label"": ""MISC""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""United States of America"", ""label"": ""LOC""}, {""text"": ""Hillary Clinton"", ""label"": ""PER""}, {""text"": ""G-20"", ""label"": ""ORG""}, {""text"": ""London"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Russian Federation"", ""label"": ""LOC""}, {""text"": ""London"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Iran Korean Peninsula"", ""label"": ""LOC""}, {""text"": ""Nonproliferation Treaty"", ""label"": ""MISC""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Security Council"", ""label"": ""ORG""}, {""text"": ""Security Council"", ""label"": ""ORG""}, {""text"": ""Medvedev"", ""label"": ""PER""}, {""text"": ""Euro Atlantic"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Euro Atlantic"", ""label"": ""LOC""}, {""text"": ""Middle East"", ""label"": ""LOC""}, {""text"": ""Afghanistan"", ""label"": ""LOC""}, {""text"": ""Moscow"", ""label"": ""LOC""}, {""text"": ""Shanghai"", ""label"": ""LOC""}, {""text"": ""Afghanistan"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Europe"", ""label"": ""LOC""}, {""text"": ""London"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""Hillary Clinton"", ""label"": ""PER""}, {""text"": ""Sylvie Lanteaume"", ""label"": ""PER""}, {""text"": ""Agence France Presse"", ""label"": ""ORG""}, {""text"": ""Lavrov"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""clinton sylvie"", ""label"": ""PER""}, {""text"": ""Nonproliferation Treaty"", ""label"": ""MISC""}, {""text"": ""Lavrov"", ""label"": ""PER""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""America"", ""label"": ""LOC""}, {""text"": ""LAVROV"", ""label"": ""PER""}, {""text"": ""Hillary"", ""label"": ""PER""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""Russian American"", ""label"": ""MISC""}, {""text"": ""clinton"", ""label"": ""PER""}, {""text"": ""Afghanistan"", ""label"": ""LOC""}, {""text"": ""Middle East"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""sergey"", ""label"": ""PER""}, {""text"": ""LAVROV"", ""label"": ""PER""}, {""text"": ""Hillary"", ""label"": ""PER""}, {""text"": ""Sisiphus"", ""label"": ""PER""}, {""text"": ""Hillary"", ""label"": ""PER""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Paul Richter"", ""label"": ""PER""}, {""text"": ""Los Angeles Times"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""British Government"", ""label"": ""ORG""}, {""text"": ""Hezbollah"", ""label"": ""ORG""}, {""text"": ""British"", ""label"": ""MISC""}, {""text"": ""LAVROV"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Israel"", ""label"": ""LOC""}, {""text"": ""P-5"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Israel"", ""label"": ""LOC""}, {""text"": ""clinton Paul"", ""label"": ""PER""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""Interfax"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""Sergey Viktorovich"", ""label"": ""PER""}, {""text"": ""clinton"", ""label"": ""PER""}, {""text"": ""LAVROV"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""NPT"", ""label"": ""ORG""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""Washington"", ""label"": ""LOC""}, {""text"": ""NATO"", ""label"": ""ORG""}, {""text"": ""Western"", ""label"": ""MISC""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""Lavrov"", ""label"": ""PER""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""European Union"", ""label"": ""ORG""}, {""text"": ""clinton"", ""label"": ""PER""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""NATO"", ""label"": ""ORG""}, {""text"": ""KFOR"", ""label"": ""ORG""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""LAVROV"", ""label"": ""PER""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""Serbian International Court of Justice Russia"", ""label"": ""ORG""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""Albanian"", ""label"": ""MISC""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""Security Council"", ""label"": ""ORG""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""Kosovar Albanians"", ""label"": ""MISC""}, {""text"": ""Balkans"", ""label"": ""LOC""}, {""text"": ""Balkans"", ""label"": ""LOC""}, {""text"": ""Medvedev"", ""label"": ""PER""}, {""text"": ""Euro Atlantic"", ""label"": ""MISC""}, {""text"": ""Voice of Russia"", ""label"": ""ORG""}, {""text"": ""Clinton"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""clinton"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Hamas"", ""label"": ""ORG""}, {""text"": ""Hezbollah"", ""label"": ""ORG""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""Lavrov"", ""label"": ""PER""}, {""text"": ""Sharm el Sheikh"", ""label"": ""LOC""}, {""text"": ""Jerusalem"", ""label"": ""LOC""}, {""text"": ""Ramallah"", ""label"": ""LOC""}, {""text"": ""Brussels"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""LAVROV"", ""label"": ""PER""}, {""text"": ""Obama"", ""label"": ""PER""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Russia"", ""label"": ""LOC""}]"
"August 1, 2014","[{""text"": ""Judith Heumann"", ""label"": ""PER""}, {""text"": ""Mexico"", ""label"": ""LOC""}, {""text"": ""Heumann"", ""label"": ""PER""}, {""text"": ""Mexico City"", ""label"": ""LOC""}, {""text"": ""Heumann"", ""label"": ""PER""}, {""text"": ""Mexican"", ""label"": ""MISC""}, {""text"": ""Heumann"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}]"
"November 10, 2016","[{""text"": ""Economic Growth Energy"", ""label"": ""ORG""}, {""text"": ""Catherine A. Novelli"", ""label"": ""PER""}, {""text"": ""Marrakech Morocco"", ""label"": ""LOC""}, {""text"": ""United Nations Framework Convention on Climate Change"", ""label"": ""ORG""}, {""text"": ""Novelli"", ""label"": ""PER""}, {""text"": ""Global Climate Action Day on Oceans"", ""label"": ""MISC""}, {""text"": ""Formula E"", ""label"": ""ORG""}, {""text"": ""Africa"", ""label"": ""LOC""}, {""text"": ""Marrakech"", ""label"": ""LOC""}, {""text"": ""Novelli"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}]"
"November 3, 2011","[{""text"": ""Bill Burns"", ""label"": ""PER""}, {""text"": ""World Affairs Councils of America 2011 National Conference"", ""label"": ""MISC""}, {""text"": ""Renaissance Mayflower Hotel"", ""label"": ""ORG""}, {""text"": ""Washington DC"", ""label"": ""LOC""}, {""text"": ""Asia"", ""label"": ""LOC""}, {""text"": ""Americas"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Pacific"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Burns"", ""label"": ""PER""}, {""text"": ""National Conference"", ""label"": ""ORG""}, {""text"": ""John McCain"", ""label"": ""PER""}, {""text"": ""Stephen Hadley"", ""label"": ""PER""}, {""text"": ""Yale University"", ""label"": ""ORG""}, {""text"": ""Richard C. Levin"", ""label"": ""PER""}, {""text"": ""World Affairs Councils of America"", ""label"": ""ORG""}, {""text"": ""American"", ""label"": ""MISC""}, {""text"": ""Kelsey Compton"", ""label"": ""PER""}]"
"November 29, 2011","[{""text"": ""Reta Jo Lewis"", ""label"": ""PER""}, {""text"": ""India"", ""label"": ""LOC""}, {""text"": ""Maryland"", ""label"": ""LOC""}, {""text"": ""Martin O'Malley"", ""label"": ""PER""}, {""text"": ""Maryland"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""India"", ""label"": ""LOC""}]"
"September 15, 2010","[{""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Southern Sudanese"", ""label"": ""MISC""}, {""text"": ""Southern Sudan Referendum Commission"", ""label"": ""ORG""}, {""text"": ""Southern Sudan Legislative Assembly"", ""label"": ""ORG""}, {""text"": ""Referendum Commission"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}]"
"June 22, 2011","[{""text"": ""Antigua"", ""label"": ""LOC""}, {""text"": ""Barbuda"", ""label"": ""LOC""}, {""text"": ""Bahamas Barbados Belize"", ""label"": ""LOC""}, {""text"": ""Dominican Republic Grenada"", ""label"": ""LOC""}, {""text"": ""Republic of Guyana"", ""label"": ""LOC""}, {""text"": ""Republic of Haiti Jamaica"", ""label"": ""LOC""}, {""text"": ""St. Kitts"", ""label"": ""LOC""}, {""text"": ""Nevis St. Lucia St. Vincent"", ""label"": ""LOC""}, {""text"": ""Grenadines the Republic of Suriname"", ""label"": ""LOC""}, {""text"": ""Republic of Trinidad and Tobago"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Ministers of Foreign Affairs and Heads of Delegation of Antigua"", ""label"": ""ORG""}, {""text"": ""Barbuda"", ""label"": ""LOC""}, {""text"": ""Bahamas Barbados Belize"", ""label"": ""LOC""}, {""text"": ""dominica"", ""label"": ""LOC""}, {""text"": ""Dominican Republic Grenada"", ""label"": ""LOC""}, {""text"": ""Republic of Guyana"", ""label"": ""LOC""}, {""text"": ""Republic of Haiti Jamaica"", ""label"": ""LOC""}, {""text"": ""St. Kitts"", ""label"": ""LOC""}, {""text"": ""Nevis St. Lucia St. Vincent"", ""label"": ""LOC""}, {""text"": ""Grenadines"", ""label"": ""LOC""}, {""text"": ""Republic of Suriname"", ""label"": ""LOC""}, {""text"": ""Republic of Trinidad and Tobago"", ""label"": ""LOC""}, {""text"": ""United States of America"", ""label"": ""ORG""}, {""text"": ""Montego Bay Jamaica"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Bridgetown Barbados"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""Caribbean Basin Security Initiative"", ""label"": ""ORG""}, {""text"": ""CBSI"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""CBSI"", ""label"": ""ORG""}, {""text"": ""Second Annual Dialogue"", ""label"": ""MISC""}, {""text"": ""Bahamas"", ""label"": ""LOC""}, {""text"": ""Haiti"", ""label"": ""LOC""}, {""text"": ""Haiti"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""Americas"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Advancing Sustainable Energy Solutions in the Caribbean"", ""label"": ""ORG""}, {""text"": ""Caribbean Climate Change Adaptation Initiative"", ""label"": ""MISC""}, {""text"": ""University of the West Indies"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Higher Education for Development"", ""label"": ""ORG""}, {""text"": ""Durban"", ""label"": ""LOC""}, {""text"": ""Cancun"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""Caribbean American"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""International Diaspora Engagement Alliance"", ""label"": ""ORG""}, {""text"": ""IDEA"", ""label"": ""ORG""}, {""text"": ""Caribbean"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""IDEA"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""LOC""}]"
"September 30, 2013","[{""text"": ""Obama"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Republic of Cyprus"", ""label"": ""LOC""}, {""text"": ""Kasoulides"", ""label"": ""PER""}, {""text"": ""Cyprus"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Republic of Cyprus"", ""label"": ""LOC""}, {""text"": ""Cyprus"", ""label"": ""LOC""}, {""text"": ""Greek Cypriot"", ""label"": ""MISC""}, {""text"": ""Turkish Cypriot"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""U.N."", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""cyprus"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}]"
