publish_date,entities
"June 4, 2018","[{""text"": ""Nauert Department"", ""label"": ""ORG""}, {""text"": ""Washington DC"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Guatemala"", ""label"": ""LOC""}, {""text"": ""Fuego"", ""label"": ""LOC""}, {""text"": ""Guatemala"", ""label"": ""LOC""}, {""text"": ""Guatemalan"", ""label"": ""MISC""}, {""text"": ""Guatemalan"", ""label"": ""MISC""}]"
"January 17, 2020","[{""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""California"", ""label"": ""LOC""}, {""text"": ""Stanford University"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Islamic Republic of Iran"", ""label"": ""LOC""}, {""text"": ""Silicon Valley"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""America"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Japan"", ""label"": ""LOC""}, {""text"": ""South Korea"", ""label"": ""LOC""}, {""text"": ""Indo Pacific"", ""label"": ""LOC""}, {""text"": ""United States Senate"", ""label"": ""ORG""}, {""text"": ""United States Mexico Canada Agreement"", ""label"": ""ORG""}, {""text"": ""USMCA"", ""label"": ""ORG""}, {""text"": ""Trump"", ""label"": ""PER""}, {""text"": ""Mexico"", ""label"": ""LOC""}, {""text"": ""USMCA"", ""label"": ""ORG""}, {""text"": ""Canadian"", ""label"": ""MISC""}, {""text"": ""USMCA"", ""label"": ""ORG""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Organization of American States"", ""label"": ""ORG""}, {""text"": ""Western Hemisphere"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Germany Colombia"", ""label"": ""LOC""}, {""text"": ""Costa Rica"", ""label"": ""LOC""}, {""text"": ""Jamaica"", ""label"": ""LOC""}, {""text"": ""Florida"", ""label"": ""LOC""}, {""text"": ""Berlin"", ""label"": ""LOC""}, {""text"": ""German"", ""label"": ""MISC""}, {""text"": ""Libya"", ""label"": ""LOC""}, {""text"": ""Bogota Colombia"", ""label"": ""LOC""}, {""text"": ""Western Hemisphere Counterterrorism Ministerial"", ""label"": ""ORG""}, {""text"": ""Duque"", ""label"": ""PER""}, {""text"": ""Colombia"", ""label"": ""LOC""}, {""text"": ""San Jose"", ""label"": ""LOC""}, {""text"": ""Costa Rica"", ""label"": ""LOC""}, {""text"": ""Joint Operations Center"", ""label"": ""ORG""}, {""text"": ""Costa Rica"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Nicaragua"", ""label"": ""LOC""}, {""text"": ""Venezuela"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Kingston Jamaica"", ""label"": ""LOC""}, {""text"": ""Caribbean"", ""label"": ""MISC""}, {""text"": ""u.s"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Miami"", ""label"": ""LOC""}, {""text"": ""DeSantis"", ""label"": ""PER""}, {""text"": ""Bushnell Florida"", ""label"": ""LOC""}, {""text"": ""Trump"", ""label"": ""PER""}, {""text"": ""Washington D.C."", ""label"": ""LOC""}, {""text"": ""Treaty of Mutual Cooperation and Security"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Japan"", ""label"": ""LOC""}, {""text"": ""u.s"", ""label"": ""LOC""}, {""text"": ""japan"", ""label"": ""LOC""}, {""text"": ""u.s"", ""label"": ""LOC""}, {""text"": ""japan"", ""label"": ""LOC""}, {""text"": ""Indo Pacific"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""American"", ""label"": ""MISC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Twitter"", ""label"": ""ORG""}, {""text"": ""TravelGov"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Brian Hook"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Brian mr hook"", ""label"": ""MISC""}, {""text"": ""Tehran"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""IRGC"", ""label"": ""ORG""}, {""text"": ""Hassan Shahvarpour"", ""label"": ""PER""}, {""text"": ""Section 7031"", ""label"": ""MISC""}, {""text"": ""Shahvarpour"", ""label"": ""PER""}, {""text"": ""Mahshahr"", ""label"": ""LOC""}, {""text"": ""Iranians"", ""label"": ""MISC""}, {""text"": ""mahshahr"", ""label"": ""LOC""}, {""text"": ""Shahvarpour"", ""label"": ""PER""}, {""text"": ""Mahshahr"", ""label"": ""LOC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iranians"", ""label"": ""MISC""}, {""text"": ""Trump"", ""label"": ""PER""}, {""text"": ""Farsi"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Rouhani"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iranians"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""IRGC"", ""label"": ""ORG""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Guardian Council"", ""label"": ""ORG""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""United Kingdom France"", ""label"": ""LOC""}, {""text"": ""Germany"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Johnson"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Rouhani"", ""label"": ""PER""}, {""text"": ""European"", ""label"": ""MISC""}, {""text"": ""Khamenei"", ""label"": ""PER""}, {""text"": ""Europe"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Matt"", ""label"": ""PER""}, {""text"": ""Iranians"", ""label"": ""MISC""}, {""text"": ""Morgan"", ""label"": ""PER""}, {""text"": ""UK"", ""label"": ""LOC""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""UK"", ""label"": ""LOC""}, {""text"": ""United Kingdom"", ""label"": ""LOC""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Hizballah"", ""label"": ""ORG""}, {""text"": ""United Kingdom"", ""label"": ""LOC""}, {""text"": ""Said"", ""label"": ""PER""}, {""text"": ""Orient Television"", ""label"": ""ORG""}, {""text"": ""UN"", ""label"": ""ORG""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""UN Security Council"", ""label"": ""ORG""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""UN"", ""label"": ""ORG""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""UN Security Council"", ""label"": ""ORG""}, {""text"": ""Iranians"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""United Arab Emirates"", ""label"": ""LOC""}, {""text"": ""Bush"", ""label"": ""PER""}, {""text"": ""UAE"", ""label"": ""LOC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Humeyra"", ""label"": ""PER""}, {""text"": ""Khamenei"", ""label"": ""PER""}, {""text"": ""IRGC"", ""label"": ""ORG""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Qasem Soleimani"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Trump"", ""label"": ""PER""}, {""text"": ""Soleimani"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Qasem Soleimani"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Rich"", ""label"": ""PER""}, {""text"": ""Brian"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Zarif"", ""label"": ""PER""}, {""text"": ""UN"", ""label"": ""ORG""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""China"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""UN Security Council"", ""label"": ""ORG""}, {""text"": ""UN"", ""label"": ""ORG""}, {""text"": ""e3"", ""label"": ""MISC""}, {""text"": ""e3"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""MEK"", ""label"": ""ORG""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""American"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Los Angeles"", ""label"": ""LOC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Nike"", ""label"": ""PER""}, {""text"": ""Brian"", ""label"": ""PER""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Morgan"", ""label"": ""PER""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Morgan"", ""label"": ""PER""}, {""text"": ""Kylie"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Legislative Affairs"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Esper"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Iranians"", ""label"": ""MISC""}, {""text"": ""Esper"", ""label"": ""PER""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Trump"", ""label"": ""PER""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Tehran"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iraq"", ""label"": ""LOC""}, {""text"": ""Lebanon"", ""label"": ""LOC""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Iran"", ""label"": ""LOC""}]"
"July 20, 2020","[{""text"": ""Democracies"", ""label"": ""MISC""}, {""text"": ""Michael R. Pompeo"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""COVID Crisis"", ""label"": ""MISC""}, {""text"": ""U.S. Government"", ""label"": ""ORG""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Bureau for Democracy Human Rights and Labor DRL"", ""label"": ""ORG""}, {""text"": ""COVID-19 Working Group"", ""label"": ""ORG""}, {""text"": ""U.S. Agency for International Development"", ""label"": ""ORG""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""USAID"", ""label"": ""ORG""}, {""text"": ""Azerbaijan"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""azerbaijani"", ""label"": ""MISC""}, {""text"": ""Bangladesh"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""Bangladesh"", ""label"": ""LOC""}, {""text"": ""Large for International Religious Freedom"", ""label"": ""ORG""}, {""text"": ""Sam Brownback"", ""label"": ""PER""}, {""text"": ""Rohingya"", ""label"": ""MISC""}, {""text"": ""Cox"", ""label"": ""LOC""}, {""text"": ""Bazar"", ""label"": ""LOC""}, {""text"": ""Bolivia"", ""label"": ""LOC""}, {""text"": ""USAID"", ""label"": ""ORG""}, {""text"": ""Bolivia"", ""label"": ""LOC""}, {""text"": ""Democratic Republic of the Congo"", ""label"": ""LOC""}, {""text"": ""USAID"", ""label"": ""ORG""}, {""text"": ""COVID"", ""label"": ""ORG""}, {""text"": ""Toko Longa Corona"", ""label"": ""ORG""}, {""text"": ""Coronavirus"", ""label"": ""MISC""}, {""text"": ""Congolese"", ""label"": ""MISC""}, {""text"": ""El Salvador"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""Guinea"", ""label"": ""LOC""}, {""text"": ""USAID"", ""label"": ""ORG""}, {""text"": ""Conakry"", ""label"": ""LOC""}, {""text"": ""N'Zerekore"", ""label"": ""LOC""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""Pompeo"", ""label"": ""PER""}, {""text"": ""Beijing"", ""label"": ""LOC""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""Hong Kong"", ""label"": ""LOC""}, {""text"": ""Indonesia"", ""label"": ""LOC""}, {""text"": ""USAID"", ""label"": ""ORG""}, {""text"": ""National Accountability Program"", ""label"": ""ORG""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""Ministry of Health"", ""label"": ""ORG""}, {""text"": ""Iran"", ""label"": ""LOC""}, {""text"": ""Syria"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Iranian"", ""label"": ""MISC""}, {""text"": ""Syrian"", ""label"": ""MISC""}, {""text"": ""UN Security Council"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""EU"", ""label"": ""ORG""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""Kosovo"", ""label"": ""LOC""}, {""text"": ""USAID Justice System Strengthening Program"", ""label"": ""ORG""}, {""text"": ""Kosovo Judicial Council"", ""label"": ""ORG""}, {""text"": ""Council"", ""label"": ""ORG""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""JSSP"", ""label"": ""ORG""}, {""text"": ""Mali"", ""label"": ""LOC""}, {""text"": ""USAID"", ""label"": ""ORG""}, {""text"": ""USAID"", ""label"": ""ORG""}, {""text"": ""Moldova"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Russia"", ""label"": ""LOC""}, {""text"": ""Chechen Republic"", ""label"": ""LOC""}, {""text"": ""Ramzan Kadyrov"", ""label"": ""PER""}, {""text"": ""Russian"", ""label"": ""MISC""}, {""text"": ""Ukraine"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Ivano Frankivsk"", ""label"": ""PER""}, {""text"": ""Roma"", ""label"": ""ORG""}, {""text"": ""Roma"", ""label"": ""ORG""}, {""text"": ""U.S"", ""label"": ""LOC""}, {""text"": ""Ukraine"", ""label"": ""LOC""}, {""text"": ""Uzbekistan"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Uzbekistan"", ""label"": ""LOC""}, {""text"": ""COVID-19"", ""label"": ""ORG""}, {""text"": ""Freedom Online Coalition"", ""label"": ""ORG""}, {""text"": ""Community of Democracies"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""LGBTI"", ""label"": ""ORG""}, {""text"": ""COVID-19"", ""label"": ""MISC""}, {""text"": ""State.gov"", ""label"": ""MISC""}, {""text"": ""usaid.gov"", ""label"": ""MISC""}]"
"October 6, 2017","[{""text"": ""Spokesperson Washington DC"", ""label"": ""ORG""}, {""text"": ""Department of State"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Mexico City Mexico"", ""label"": ""LOC""}, {""text"": ""Caddell Construction Company"", ""label"": ""ORG""}, {""text"": ""Alabama"", ""label"": ""LOC""}, {""text"": ""Chancery Marine"", ""label"": ""ORG""}, {""text"": ""Tod Williams Billie tsien"", ""label"": ""ORG""}, {""text"": ""Davis Brody Bond of New York New York"", ""label"": ""ORG""}, {""text"": ""Bureau of Overseas Buildings Operations OBO"", ""label"": ""ORG""}, {""text"": ""OBO"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""American"", ""label"": ""MISC""}, {""text"": ""American"", ""label"": ""MISC""}, {""text"": ""Christine Foushee"", ""label"": ""PER""}]"
"July 2, 2019","[{""text"": ""Morgan Ortagus"", ""label"": ""ORG""}, {""text"": ""Michael R. Pompeo"", ""label"": ""PER""}, {""text"": ""Kazakhstani"", ""label"": ""MISC""}, {""text"": ""Beibut Atamkulov"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Kazakhstani"", ""label"": ""MISC""}, {""text"": ""Kassym Jomart Tokayev"", ""label"": ""PER""}, {""text"": ""Tokayev"", ""label"": ""PER""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Syria"", ""label"": ""LOC""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Kazakhstan"", ""label"": ""LOC""}, {""text"": ""Afghanistan"", ""label"": ""LOC""}]"
"March 2, 2020","[{""text"": ""Bureau of International Narcotics and Law Enforcement Affairs"", ""label"": ""ORG""}, {""text"": ""INL"", ""label"": ""ORG""}, {""text"": ""James A. Walsh"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""63rd Commission on Narcotic Drugs"", ""label"": ""ORG""}, {""text"": ""Vienna Austria"", ""label"": ""LOC""}, {""text"": ""CND"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Trump"", ""label"": ""ORG""}, {""text"": ""World Drug Problem"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""CND"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""CND"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Department of State"", ""label"": ""ORG""}, {""text"": ""Department of Justice"", ""label"": ""ORG""}, {""text"": ""Department of Health and Human Services"", ""label"": ""ORG""}, {""text"": ""Food and Drug Administration"", ""label"": ""ORG""}, {""text"": ""Department of Agriculture The State Department"", ""label"": ""ORG""}, {""text"": ""INL"", ""label"": ""ORG""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""state.gov"", ""label"": ""MISC""}, {""text"": ""Bureau of International Narcotics and Law Enforcement Affairs"", ""label"": ""ORG""}, {""text"": ""www.facebook.com"", ""label"": ""MISC""}]"
"July 26, 2018","[{""text"": ""Trump"", ""label"": ""PER""}, {""text"": ""Trump"", ""label"": ""ORG""}, {""text"": ""Pence"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""ISIS"", ""label"": ""ORG""}, {""text"": ""Iraq"", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Jared Kushner"", ""label"": ""PER""}, {""text"": ""Mick Mulvaney"", ""label"": ""PER""}, {""text"": ""USAID"", ""label"": ""ORG""}, {""text"": ""Mark Green"", ""label"": ""PER""}, {""text"": ""UN"", ""label"": ""ORG""}, {""text"": ""Nikki Haley"", ""label"": ""PER""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""International Religious Freedom Fund"", ""label"": ""ORG""}, {""text"": ""International Visitor Leadership Program"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Potomac Declaration"", ""label"": ""MISC""}, {""text"": ""The Potomac Declaration"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Brownback"", ""label"": ""PER""}, {""text"": ""America"", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Brownback"", ""label"": ""PER""}]"
"March 28, 2019","[{""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""Istanbul"", ""label"": ""LOC""}, {""text"": ""Metin Topuz"", ""label"": ""PER""}, {""text"": ""Topuz"", ""label"": ""PER""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Turkey"", ""label"": ""LOC""}, {""text"": ""Topuz"", ""label"": ""PER""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Turkey"", ""label"": ""LOC""}, {""text"": ""Turkish"", ""label"": ""MISC""}]"
"June 1, 2020","[{""text"": ""U . S. Department of State"", ""label"": ""ORG""}, {""text"": ""Venezuelan"", ""label"": ""MISC""}, {""text"": ""Joselit de la Trinidad Ramirez Camacho"", ""label"": ""PER""}, {""text"": ""Venezuelan"", ""label"": ""MISC""}, {""text"": ""Venezuela"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Venezuelans"", ""label"": ""MISC""}, {""text"": ""Department"", ""label"": ""ORG""}, {""text"": ""Joselit de la Trinidad Ramirez Camacho"", ""label"": ""PER""}, {""text"": ""Venezuelan"", ""label"": ""MISC""}, {""text"": ""Ramirez Camacho"", ""label"": ""PER""}, {""text"": ""Venezuela"", ""label"": ""LOC""}, {""text"": ""Ramirez Camacho"", ""label"": ""PER""}, {""text"": ""Maduro"", ""label"": ""PER""}, {""text"": ""Venezuelan"", ""label"": ""MISC""}, {""text"": ""Tareck El Aissami"", ""label"": ""PER""}, {""text"": ""Southern District of New York"", ""label"": ""ORG""}, {""text"": ""Department of State"", ""label"": ""ORG""}, {""text"": ""Transnational Organized Crime Rewards Program"", ""label"": ""MISC""}, {""text"": ""Narcotics Rewards Program"", ""label"": ""MISC""}, {""text"": ""Department of State"", ""label"": ""ORG""}, {""text"": ""Bureau of International Narcotics and Law Enforcement Affairs"", ""label"": ""ORG""}, {""text"": ""Drug Enforcement Administration DEA"", ""label"": ""ORG""}, {""text"": ""Federal Bureau of Investigation"", ""label"": ""ORG""}, {""text"": ""U.S. Immigration and Customs Enforcement Homeland Security Investigations ice hsi"", ""label"": ""ORG""}, {""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""State Department"", ""label"": ""ORG""}, {""text"": ""Transnational Organized Crime Rewards Program"", ""label"": ""MISC""}]"
"February 20, 2017","[{""text"": ""Mark C. Toner"", ""label"": ""PER""}, {""text"": ""Washington DC"", ""label"": ""ORG""}, {""text"": ""Ukrainians"", ""label"": ""MISC""}, {""text"": ""Ukrainians"", ""label"": ""MISC""}, {""text"": ""Europe"", ""label"": ""LOC""}, {""text"": ""Ukraine"", ""label"": ""LOC""}, {""text"": ""Maidan"", ""label"": ""LOC""}, {""text"": ""Ukrainian"", ""label"": ""MISC""}, {""text"": ""Revolution of Dignity"", ""label"": ""MISC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Ukraine"", ""label"": ""LOC""}, {""text"": ""Ukraine"", ""label"": ""LOC""}, {""text"": ""United States"", ""label"": ""LOC""}, {""text"": ""Ukrainian"", ""label"": ""MISC""}]"
